,error,22.24_a*1,23.04_a*1,23.84_a*1,25.44_a*1,26.24_a*1,27.84_a*1,31.4_a*1,50.3_a*1,51.76_a*1,52.8_a*1,53.75_a*1,54.94_a*1,56.66_a*1,58.0_a*1,90.0_a*1,120.15_a*1,121.05_a*1,122.95_a*1,127.25_a*1,183.91_a*1,184.81_a*1,185.81_a*1,186.81_a*1,188.31_a*1,190.81_a*1,22.24_b**2,23.04_b**2,23.84_b**2,25.44_b**2,26.24_b**2,27.84_b**2,31.4_b**2,50.3_b**2,51.76_b**2,52.8_b**2,53.75_b**2,54.94_b**2,56.66_b**2,58.0_b**2,90.0_b**2,120.15_b**2,121.05_b**2,122.95_b**2,127.25_b**2,183.91_b**2,184.81_b**2,185.81_b**2,186.81_b**2,188.31_b**2,190.81_b**2
0.0,-49.93237879685244,-0.03248699619513978,0.4590313218885165,0.45845381398688423,-0.9253869552757905,-0.752482140152301,-0.028865087195796946,1.0678723287603222,-0.7618150307022964,-1.586122602417673,3.1493624261751227,-0.8593356238992516,0.3285834993390937,0.1415591902116946,-0.11781023162038007,-0.3731449523612904,-0.6589738536541079,0.4380218783701102,0.4529881803656193,0.3121889124815682,-0.3102069730409279,0.6363422568156164,-0.15225832312967003,-0.44228588940483715,-0.3588369576771968,0.14927935255208233,-3.0183705002715907e-05,-0.0015753232733100365,-0.0013186424179291837,0.0035294791732609987,0.0027842866234573296,7.723030806039421e-06,-0.003991188946749055,0.0015795966883084141,0.0034824168700827375,-0.006305166773242452,0.0016997169612553518,-0.000842371775529815,-0.0001369719393652098,0.00015160991770088623,0.0009506555798521198,0.0013463454921144925,-0.000850645049170979,-0.0009123353756471837,-0.0006875264257670505,0.000634862841601755,-0.0013035030631007658,0.00032120591526449383,0.0008988911150054498,0.0007191665602675234,-0.0003115453283414108
30.0,-73.26498681424637,-0.032791380579125784,0.532856903105837,0.4128493305421503,-1.1138322648680867,-0.8605154983268477,0.04524558550379476,1.163205558732431,-0.728874042099188,-1.9675880215327208,4.011744527491615,-0.8182426886822349,0.349814551197146,0.2813880282553922,-0.21336080369546928,-0.3326709092840445,-0.8807080224892402,0.22248071408455017,0.4820041130187689,0.3188895177570358,-0.3126959663782914,0.7624672157982004,-0.40385352477923075,-0.5271183063679546,-0.1008870758288849,0.08955164535826643,-3.882771835815292e-05,-0.0018215072189481083,-0.0011367406452471797,0.004192149019524512,0.0031503078195917484,-0.00028068621390405207,-0.004336072968510542,0.0014983245923360317,0.004318042077306553,-0.008070240093420881,0.0016276014062792223,-0.0008943982709143914,-0.000437084128626863,0.00035777605211798156,0.000878638512207994,0.0017907952154265028,-0.00042306681190623554,-0.0009795503386148619,-0.0007063617525132819,0.0006399130545141609,-0.0015586194648413798,0.0008171442339204556,0.0010669722725763255,0.00022403740322925083,-0.00019544601330312623
60.0,-72.10914841312854,-0.03468810079173844,0.5357452788823064,0.3983980526037393,-1.1002927425219904,-0.8537692694100878,0.015601014522576673,1.158263553041884,-0.6931250817557314,-1.9061531469653945,3.907816549152747,-0.7175667384517341,0.2730905289018717,0.320471607576158,-0.23773091435133042,-0.34511652542553023,-0.8606884246546358,0.21961644084780296,0.4886287953257238,0.33347051995837884,-0.319979485448599,0.7812874531944399,-0.37478964799745834,-0.551889833512283,-0.19092122775250342,0.12138264342466987,-3.496752511916848e-05,-0.0018323677213801942,-0.0010850570952377402,0.004151106586856607,0.003129791086581622,-0.00017909568528604557,-0.0043360549848100675,0.0014131982526188257,0.004183424542398655,-0.007859384689031215,0.0014214040157438717,-0.0007240577875029437,-0.0005293262834069872,0.0004152542939329174,0.0009120192066174732,0.0017495465877304353,-0.00041832169463228847,-0.0009919630016654761,-0.0007359146268646588,0.0006540725558419546,-0.0015962664042392285,0.000761137952138458,0.0011148984346627722,0.00039755485865543955,-0.00025719984872413443
90.0,-74.11269760537328,-0.03529950190940519,0.5339070874878645,0.3824526162086028,-1.0970995679200393,-0.8497757595059472,0.02093708213059431,1.1492410652626255,-0.6427339185430725,-1.9980667272579347,4.007189415742082,-0.6519806011426263,0.2193506123799669,0.363061269570252,-0.2655661194576864,-0.34435031941289407,-0.8679282522758371,0.1739177123560216,0.49799198209258133,0.33704010709680543,-0.32843927173806836,0.8121736603950974,-0.3986008705090093,-0.5791651763158635,-0.18093075985728257,0.12203704479378943,-3.451254338761962e-05,-0.0018260139744622362,-0.0010270639331870582,0.004141890426231214,0.0031158278587775454,-0.0002008881771203572,-0.004312768951203945,0.001295969025002938,0.004384610975801754,-0.008065767457333643,0.001287405847542786,-0.0006060911896476661,-0.0006263427340659697,0.0004788443063321003,0.000913106326925681,0.0017638655672602714,-0.00032601267063720775,-0.0010116075999642773,-0.0007438867296253812,0.0006708647449460003,-0.0016583847061030122,0.0008085569736610946,0.0011681810770201254,0.0003784717879177801,-0.00025829533465747726
120.0,-75.01060362621959,-0.03769219921232103,0.5278842937840704,0.3705777765369194,-1.0862864340470604,-0.8388606862587169,0.022590494599092903,1.1372244090965105,-0.5929412147702444,-2.0982738509925225,4.095573576774241,-0.5831178801901267,0.17228930279683552,0.39858886959332485,-0.28835926337568285,-0.34267371235197924,-0.880401879143171,0.13352861393383542,0.5020447220926951,0.340058519827404,-0.3371538426935362,0.8355352110336839,-0.4100679733794968,-0.607302786978817,-0.17156476091894213,0.1231005029840044,-2.745448061558677e-05,-0.0018058949144803358,-0.0009839117703660499,0.004105644515093701,0.0030780792186625838,-0.00020893133860892983,-0.004276976093677116,0.001180542760146122,0.00460412580536304,-0.008250567489077919,0.0011467109998333615,-0.0005026721591809458,-0.0007080372110992357,0.0005314915088359736,0.000910523234236074,0.0017895466611943533,-0.0002441622406213822,-0.0010197602659307884,-0.0007506860912362299,0.0006882001815754488,-0.0017052993687062346,0.0008315927356826313,0.0012230857973755968,0.0003602841773537957,-0.00026006044813574314
150.0,-75.7219238733271,-0.04236636924466216,0.5200039308860029,0.3625668631015955,-1.0726486911750759,-0.8246552432469891,0.028939941814114523,1.1163150746216133,-0.5347756115877195,-2.2155757202281117,4.184547317846521,-0.5031930406033394,0.1260647527026999,0.43052192791525945,-0.307731464054651,-0.34013376669683965,-0.8936129685424137,0.085451805274388,0.5051504801650815,0.34261049725566284,-0.3437936790426115,0.8494409973413624,-0.41994187948843664,-0.6244045837873322,-0.16385881644032874,0.12356757329246605,-1.2617296954874676e-05,-0.001778942956087742,-0.000954439422156362,0.004059383318769974,0.003028346779242545,-0.00023273531731303476,-0.0042100790661193715,0.0010456033483201097,0.004861422079252687,-0.008437341031743784,0.000983256639909863,-0.00040095944725420437,-0.0007815137497356258,0.0005762524508163536,0.0009051796385722049,0.0018169045807348092,-0.00014646560349180875,-0.001025875009450711,-0.0007565770437707254,0.0007012136672923212,-0.001733004965923551,0.0008513659849784508,0.0012564121174004697,0.0003453144023514991,-0.0002606604167922496
180.0,-76.49686477332158,-0.048999308846574476,0.5103847858016372,0.3591598348475103,-1.0554404470994723,-0.8134771486670553,0.03765215751847073,1.0924748564822917,-0.4743673348713108,-2.3414591910524862,4.277145406541772,-0.41140969834562435,0.08148489772946421,0.4560325263832763,-0.3213714765293103,-0.3376933266706556,-0.9102713236100904,0.028295086786035206,0.5085027457196585,0.3459386814497085,-0.3458719098355007,0.8491655977684948,-0.42419515544778247,-0.6304724323665515,-0.16151591872003357,0.123702429453357,1.0015374871090487e-05,-0.0017460351499412256,-0.0009421706536945245,0.004000307582830702,0.0029889532255340644,-0.00026397449833850516,-0.004132669486107066,0.0009060291336635709,0.005137267193454153,-0.008631964121159338,0.0007948571050432496,-0.0003023010551904456,-0.0008407340798240797,0.00060805658611854,0.0008996160383321,0.0018515512291545062,-3.004587892153649e-05,-0.0010322776921985518,-0.0007643972071863677,0.0007049639186489957,-0.0017321520684967678,0.00085991827100193,0.001268099926168576,0.0003407945706671166,-0.00026052826277177276
210.0,-77.04780673182746,-0.05953108936933632,0.5043378215653489,0.3594040043178245,-1.0349218879335953,-0.8109961355121587,0.0451006818626043,1.073658550306475,-0.4057342060596464,-2.490146760633263,4.381481553661696,-0.3126504476356251,0.040127538173018396,0.46984288457996337,-0.3253205426067365,-0.33671722382770186,-0.9276622268419213,-0.04101641018062141,0.5163347848551219,0.34921353945034006,-0.3469143761335852,0.8383855515761609,-0.42126532157567803,-0.6259804383520469,-0.16720509999883515,0.12469843723122012,4.6775276383150184e-05,-0.0017256935992656054,-0.0009424501576622068,0.003928870505486439,0.0029792534454620087,-0.00029047504288792336,-0.004071087572333182,0.0007478962066607817,0.005462736928245201,-0.008851466727421122,0.00059190623500756,-0.00021012408521661405,-0.0008737330638885882,0.0006179428904993733,0.0008970295050547448,0.0018875564347055817,0.00011159694402612403,-0.001047906727254331,-0.0007722394350929071,0.0007065717424660224,-0.0017100790396377488,0.000854314962391049,0.0012590283505102297,0.0003518289861000627,-0.0002619448317762262
240.0,-77.02917585314205,-0.06841387091178407,0.49080274421148956,0.36616306022756334,-1.0085205455029858,-0.8102209018552395,0.050058633485962734,1.0507413969267214,-0.3284261651506106,-2.64826235142729,4.479362819258856,-0.21326623335074357,-0.002524840534207984,0.47748158079901204,-0.32350498113237236,-0.3351100415624349,-0.9408534117623023,-0.10809411295169147,0.5244953817030091,0.3520342264902755,-0.3547381211284198,0.8416432759261966,-0.42106462892808466,-0.6297677803775904,-0.1706233672600196,0.12562378523862996,7.784212854198798e-05,-0.001679922435807909,-0.000964389789117627,0.0038364387002383865,0.0029746712386828824,-0.00030790141763536224,-0.003995548190793354,0.0005693089219592575,0.0058094193005739,-0.009058168786501878,0.0003869600698161429,-0.0001144565579980091,-0.0008929285351240109,0.0006147348334756175,0.0008927785244926778,0.0019147906655385591,0.00024920131844038355,-0.0010644037475480124,-0.0007790426043741052,0.0007219911943050453,-0.001716090345850853,0.0008539274352614502,0.001266211632329629,0.00035851973090665363,-0.00026320480209238997
270.0,-76.65255635849742,-0.0797551898047337,0.4765114778778142,0.378621372466407,-0.9819455719663641,-0.8108073384785968,0.05355559467810611,1.0267998837337966,-0.24571682274815848,-2.8063049278512873,4.561596198523579,-0.10192613042064114,-0.049944063777162206,0.4891350620024506,-0.32405700374209345,-0.3343396815018104,-0.9539425411767822,-0.17699371774769013,0.5349884567595953,0.35475647232869534,-0.36293842510944474,0.8503809229405648,-0.4154583691256667,-0.6469901179437076,-0.17237518366831572,0.12791544545925165,0.00011701585382013448,-0.0016312115564413377,-0.001005673131253005,0.003743176744730753,0.0029745356007667596,-0.00032055950499970415,-0.003916030666510177,0.00037837135162048063,0.006156057041990306,-0.009233226572745161,0.00015707309321911275,-7.781944416955771e-06,-0.0009218737331113122,0.0006172863677919587,0.0008901429440786542,0.0019418641669896718,0.00039075366761704474,-0.00108572992547194,-0.0007854970114188641,0.0007382537957435389,-0.0017332667567999268,0.0008428809086189679,0.0012997152536537576,0.00036195939352921466,-0.0002671207546354554
