,error,22.24_a*1,23.04_a*1,23.84_a*1,25.44_a*1,26.24_a*1,27.84_a*1,31.4_a*1,50.3_a*1,51.76_a*1,52.8_a*1,53.75_a*1,54.94_a*1,56.66_a*1,58.0_a*1,90.0_a*1,120.15_a*1,121.05_a*1,122.95_a*1,127.25_a*1,183.91_a*1,184.81_a*1,185.81_a*1,186.81_a*1,188.31_a*1,190.81_a*1,22.24_b**2,23.04_b**2,23.84_b**2,25.44_b**2,26.24_b**2,27.84_b**2,31.4_b**2,50.3_b**2,51.76_b**2,52.8_b**2,53.75_b**2,54.94_b**2,56.66_b**2,58.0_b**2,90.0_b**2,120.15_b**2,121.05_b**2,122.95_b**2,127.25_b**2,183.91_b**2,184.81_b**2,185.81_b**2,186.81_b**2,188.31_b**2,190.81_b**2
0.0,0.0020485273571838837,0.00040287445955468804,0.001120470458176875,-0.0006350073696793864,-0.002186176752149418,-0.0013054714688130451,0.0006363437384376931,0.0024484874105345097,-0.003704018611917137,0.001624733778876621,0.003248573558393246,-0.0016328756535988033,0.002331995469684133,-0.0014912314867241575,0.0008911095674847048,-0.0013462626047681782,-0.001844128204373355,0.0005066280050477627,0.0009162418270155511,0.0015742213370104397,-0.0005278862001312385,0.0016511017678640476,-0.0009078516951153684,-0.0008754595146956408,-0.00039781330792060086,-0.0007157757352862469,-1.9263738990820065e-06,-3.87193765879719e-06,2.999127794388437e-06,8.451486050008124e-06,5.061666823709359e-06,-2.4740989629669406e-06,-9.226719251212465e-06,8.084002724720173e-06,-3.5339379714682e-06,-6.201619342962613e-06,3.051912431520994e-06,-5.30567959673465e-06,3.7593641381228783e-06,-2.2880105897973398e-06,3.2632925804034985e-06,3.812732420782992e-06,-8.87110065495904e-07,-1.7386265701687203e-06,-3.361700874731817e-06,1.137721331176178e-06,-3.4636131802087603e-06,1.8446939693565703e-06,1.820981359814799e-06,8.127520329670712e-07,1.3323021664340925e-06
30.0,-0.029879649401076805,0.0004074900070084673,0.0011365235076475225,-0.0007415505921456344,-0.0023154269406356104,-0.0012808446499128607,0.0007398769314819209,0.0023854889070916174,-0.0035687894647239236,0.0014233792261570143,0.004007966709931133,-0.0017016123799892464,0.0024528352696273218,-0.001476410147413262,0.0008742159015450084,-0.0013368934137839763,-0.002014247985696423,0.0003004248705235141,0.000982869865300201,0.001600586325156093,-0.0005516637834468154,0.0018031229385826841,-0.0011316794340390933,-0.0009464453961560435,-0.0002578789496749456,-0.0007743716816860835,-1.9621444652491806e-06,-3.921096061377197e-06,3.404944881849554e-06,8.91580052494281e-06,4.958815787717271e-06,-2.8849315195079934e-06,-9.072224389496713e-06,7.768235958124861e-06,-3.095769925327912e-06,-7.779108033599913e-06,3.2132920390549447e-06,-5.5558243505136e-06,3.710887047908147e-06,-2.240218378456496e-06,3.28309853817593e-06,4.152981817706994e-06,-4.864317084819583e-07,-1.8842279886317375e-06,-3.416651544225721e-06,1.1852766741309115e-06,-3.7722071933702e-06,2.2866945218843384e-06,1.9645217651344814e-06,5.470120813318976e-07,1.4424082009236274e-06
60.0,-0.03482409411080957,0.00041347758274858955,0.0010807606235089583,-0.0007829541379349085,-0.0022402900733967997,-0.001165810697936149,0.0007125246461532808,0.002273656007549648,-0.0034129185226218213,0.0013694460567420831,0.004112523175368881,-0.0016858251631103383,0.002353354891720564,-0.0014129775280366103,0.0008339626311794555,-0.0013497414737964676,-0.0019704052029617964,0.0002541681725806951,0.0009842940402883492,0.0016177141557133662,-0.0005764694029172228,0.0018459385766294398,-0.0011295606456546937,-0.0009586699320858606,-0.0003454576975987286,-0.0007561002007240327,-1.9923183193521582e-06,-3.731572561684711e-06,3.561214149115638e-06,8.665208440743157e-06,4.556151721328384e-06,-2.8007073039669784e-06,-8.730535615107869e-06,7.410218681435607e-06,-2.9805096256107245e-06,-8.012607362731933e-06,3.18813226156011e-06,-5.325838750773268e-06,3.5475873385432075e-06,-2.1348537571737836e-06,3.3264033462783716e-06,4.060704929453905e-06,-3.969476966398086e-07,-1.8855921923658185e-06,-3.4520579217668194e-06,1.2323981762062057e-06,-3.856214425172051e-06,2.2833401447690955e-06,1.9897370644604094e-06,7.167583436542578e-07,1.4051253060088434e-06
90.0,-0.039874654625274994,0.00040892174228654703,0.001037638244825089,-0.0008169445552034608,-0.0021812472795205845,-0.001083983759809898,0.0007113891889083737,0.002209772167237379,-0.003264748687393446,0.001080498495811906,0.00443781633950832,-0.0016638243257225617,0.0022785057607969837,-0.0013626874882562464,0.0008012320444628557,-0.0013468547375878278,-0.001968276400987596,0.00018006022637739546,0.0009947921566232738,0.001614171263544429,-0.0006047642212182734,0.0018874965706626866,-0.001138789970254273,-0.0009888621981568612,-0.0003639735084365758,-0.0007471779126193799,-1.9823163910769524e-06,-3.584773254378974e-06,3.687542893974647e-06,8.465687104838003e-06,4.269287974928476e-06,-2.804447732667116e-06,-8.533791509734366e-06,7.072123788895604e-06,-2.3499629226868204e-06,-8.69733345424367e-06,3.1460232981519205e-06,-5.154389774929646e-06,3.4228699080860996e-06,-2.0528147637401623e-06,3.3259622426918498e-06,4.055741989525318e-06,-2.474420073286883e-07,-1.907766706808942e-06,-3.4447024058339746e-06,1.2875807111301824e-06,-3.938220026446493e-06,2.301951831576813e-06,2.0491242806023306e-06,7.535971255311779e-07,1.3871919511658028e-06
120.0,-0.042054531360844555,0.00039952580258449747,0.0009894405708379486,-0.0008376168651395297,-0.0021161975684919764,-0.0010052469974892394,0.0007164702572916242,0.002142480791405868,-0.003130524692140502,0.00077266960084424,0.004749283204919497,-0.0016120643651842043,0.0022009999248459875,-0.001313093222794814,0.0007699498853641334,-0.0013362203254815134,-0.0019652815333054572,8.771908324027954e-05,0.0009982693645565455,0.0016055420291165232,-0.0006389593754153895,0.0019248700225873029,-0.0011367191725928133,-0.001021213740612505,-0.0003783657672100418,-0.0007331785837504559,-1.9548216557252773e-06,-3.4208268542806683e-06,3.7648971438668858e-06,8.245143242744387e-06,3.995173278760167e-06,-2.8271323909941837e-06,-8.321816874490929e-06,6.767844085120064e-06,-1.679087034067583e-06,-9.352786870197906e-06,3.0419589927474127e-06,-4.978783497769788e-06,3.3020318335459124e-06,-1.9756064157206123e-06,3.304250276189408e-06,4.0492770063210765e-06,-5.871446268355846e-08,-1.9154694343787105e-06,-3.426839932109257e-06,1.3544693410391392e-06,-4.010766527607075e-06,2.2982816818360313e-06,2.111817998023501e-06,7.818492938659852e-07,1.3601730691869314e-06
150.0,-0.04345054488219812,0.00038118337629442075,0.0009340317412252399,-0.0008337052735104544,-0.002054948145821185,-0.0009175973498959118,0.0007198559426254847,0.002063552454388485,-0.002978307653074175,0.00040890561912648076,0.005085718292471805,-0.0015307185207866468,0.002114862681830012,-0.0012528009977716206,0.000731409415630276,-0.0013209371912714185,-0.001959178197571773,-3.141615752142186e-05,0.0010006581056575662,0.001594390488452931,-0.0006728536332507783,0.0019500471496833283,-0.001130586031975011,-0.0010422460002164847,-0.0003935787637855546,-0.0007178407885191516,-1.8933703851226874e-06,-3.23301321395985e-06,3.7535400710180866e-06,8.03885577335799e-06,3.6897320299168992e-06,-2.8427698644501507e-06,-8.068376884990553e-06,6.420761127445305e-06,-8.848417208591634e-07,-1.0060149350995132e-05,2.875787570926267e-06,-4.784072639887756e-06,3.157638400078504e-06,-1.8825623143679946e-06,3.269843985085863e-06,4.036105905347339e-06,1.858745749211889e-07,-1.920836875987516e-06,-3.4038123280277282e-06,1.4206845656653643e-06,-4.05835340571087e-06,2.286467232239306e-06,2.152278991121937e-06,8.113419796242397e-07,1.330890271089838e-06
180.0,-0.045941456454399524,0.00034887980295053415,0.0008881672583773841,-0.0008047639734736782,-0.0020145022384972402,-0.0008472586094344231,0.0007194506002851821,0.00200669333748474,-0.002838218035540005,3.563138961801054e-05,0.005445650981432007,-0.0014034991747448571,0.0020292036564234393,-0.0011852151383056802,0.0006884322400000952,-0.0013085637894642275,-0.001974412023122403,-0.00018513390721927185,0.001011323034393247,0.0015866654311186214,-0.0006995091889305818,0.0019534671690597852,-0.0011226725675714784,-0.0010426654830253898,-0.00041048622450296423,-0.0007066139182094189,-1.7796210294443213e-06,-3.0774346158539933e-06,3.6495279142587836e-06,7.903588258371163e-06,3.443684936586023e-06,-2.8421940086030925e-06,-7.88643612862075e-06,6.1031014979326255e-06,-6.981637795087597e-08,-1.0816687005473177e-05,2.6130938357084666e-06,-4.5897012664002345e-06,2.996218955188233e-06,-1.7793608645063412e-06,3.241119119351396e-06,4.06738237107917e-06,5.026379910509371e-07,-1.9432812731492034e-06,-3.388615962119356e-06,1.4723210323370835e-06,-4.062069116974784e-06,2.2710300072912286e-06,2.152097085033812e-06,8.441372185227714e-07,1.3098341640396602e-06
210.0,-0.049443081888769225,0.0003089079891681014,0.0008641261013648688,-0.0007721791298323405,-0.0020031653241337033,-0.0007929376743579191,0.0007325452647940074,0.001968901225777939,-0.0026941732571435376,-0.00035460727779732925,0.005805217359327838,-0.001242697019292926,0.0019384890026774352,-0.0011084594718535458,0.0006401303760123859,-0.0013012693602500536,-0.0020077437448709897,-0.0003368534036538985,0.001018279613857166,0.001583064436414405,-0.0007168447128918398,0.0019227525381903165,-0.0010926135577928099,-0.0010276870435012326,-0.00043355044376899637,-0.000697455665169579,-1.6375653527081635e-06,-2.997318231334051e-06,3.5321591200972904e-06,7.866869907341108e-06,3.253900968490082e-06,-2.8873931399994636e-06,-7.766262020756624e-06,5.777563005562038e-06,7.824420220833774e-07,-1.1573872072067326e-05,2.280348930518209e-06,-4.3841268302646624e-06,2.8142905763926387e-06,-1.6645280397077967e-06,3.2232787175219695e-06,4.1368520920651966e-06,8.160503470067092e-07,-1.9572737589722305e-06,-3.382619840107731e-06,1.5050038857633626e-06,-3.997152624309985e-06,2.212134945536538e-06,2.121102807020868e-06,8.892249078455631e-07,1.2928430458565596e-06
240.0,-0.052337554809701876,0.0002634921984475455,0.0008518282740177113,-0.0007555295754102168,-0.0019514159797635574,-0.000758898742795525,0.0007383233473813404,0.0019174671831722885,-0.002521453389732824,-0.000765115245442179,0.006129280459299169,-0.0010558522043851168,0.0018383784900535892,-0.001030361570575598,0.0005951233804083967,-0.0012900114187098886,-0.0020469138089617206,-0.00047045103581664114,0.0010257705781887001,0.0015758022174093929,-0.000752246021291135,0.0019174187694101909,-0.0010498245679071761,-0.001044007636753731,-0.0004484552430473955,-0.0006883388245809982,-1.4768789765215211e-06,-2.9562787700894922e-06,3.4701107216985437e-06,7.68594635772257e-06,3.1344167380046485e-06,-2.905432815574053e-06,-7.600614223054249e-06,5.3840945887054015e-06,1.681185522177322e-06,-1.2258772592744107e-05,1.8923123996284068e-06,-4.1576107533192935e-06,2.6300285061802546e-06,-1.5580821819608365e-06,3.195818518035156e-06,4.219530825885404e-06,1.0922659135921256e-06,-1.9724551375322102e-06,-3.3686757266492396e-06,1.5747448486475952e-06,-3.983475810602686e-06,2.128013412573983e-06,2.1514377352131004e-06,9.188967318142364e-07,1.27572933914771e-06
270.0,-0.05479538037350833,0.0002184840341514142,0.0008384463781191015,-0.0007413793612293421,-0.0018697739964457557,-0.0007481608139099931,0.0007362892498527523,0.0018647292566886038,-0.0023229802247207365,-0.001195782232739398,0.006436813578105806,-0.0008762932573384035,0.0017424815116509245,-0.0009522626812253525,0.0005492040374024299,-0.0012796997255268506,-0.0020856848647642784,-0.0005886614794984831,0.0010314139506178187,0.0015679785478430698,-0.0007869941445002601,0.0019242429325175574,-0.0010053233339345391,-0.0010805587469351619,-0.0004543790420534421,-0.0006781813215038504,-1.3190471408130994e-06,-2.90977570623196e-06,3.416142484231855e-06,7.401171602416387e-06,3.0955308025570605e-06,-2.8968993674459964e-06,-7.4294526523130316e-06,4.930056500924133e-06,2.625194798329146e-06,-1.2910792015909423e-05,1.520034406959737e-06,-3.940617201991138e-06,2.445589895070914e-06,-1.4494458382816572e-06,3.1700221850473903e-06,4.301877286481873e-06,1.3364106333218875e-06,-1.98374728805925e-06,-3.353246274593312e-06,1.6434422386460222e-06,-3.994291764138146e-06,2.0401039891344166e-06,2.2213645744866743e-06,9.310369639940638e-07,1.2567628411415275e-06
