,error,22.24_a*1,23.04_a*1,23.84_a*1,25.44_a*1,26.24_a*1,27.84_a*1,31.4_a*1,50.3_a*1,51.76_a*1,52.8_a*1,53.75_a*1,54.94_a*1,56.66_a*1,58.0_a*1,90.0_a*1,120.15_a*1,121.05_a*1,122.95_a*1,127.25_a*1,183.91_a*1,184.81_a*1,185.81_a*1,186.81_a*1,188.31_a*1,190.81_a*1,22.24_b**2,23.04_b**2,23.84_b**2,25.44_b**2,26.24_b**2,27.84_b**2,31.4_b**2,50.3_b**2,51.76_b**2,52.8_b**2,53.75_b**2,54.94_b**2,56.66_b**2,58.0_b**2,90.0_b**2,120.15_b**2,121.05_b**2,122.95_b**2,127.25_b**2,183.91_b**2,184.81_b**2,185.81_b**2,186.81_b**2,188.31_b**2,190.81_b**2
0.0,0.033535012592295035,0.00046644643720445745,0.0005618962037168412,-0.00011603701224440692,-0.0018184346567466751,-0.0015302430386424431,0.0005714454272017677,0.0022521983076877264,-0.0031148583084571564,0.0011048887210795828,0.0027309645439986636,-0.00028682375731821217,0.001226629485389211,-0.0028553139226658118,0.002130278370847954,-0.0012659837086581797,-0.0012092970439631897,-0.00016263555104546203,0.0010086523359696682,0.0014750964947971546,-0.0002145414425491228,0.0011103520275405766,-0.0005539864016636952,-0.0007958864899911741,-0.0007648935469980428,-0.000500141934279288,-2.056600687409436e-06,-1.9714932769014237e-06,1.0267647593037255e-06,7.100340698744734e-06,5.84056697078041e-06,-2.153386413786012e-06,-8.519849541002993e-06,6.7340453169510425e-06,-2.4635046703458605e-06,-5.093637304975729e-06,6.451484109214091e-07,-3.2043970369339945e-06,6.78917132317599e-06,-4.965477801264243e-06,3.093417861257375e-06,2.479741132950883e-06,4.796820863509934e-07,-1.964909242955194e-06,-3.1412222279520565e-06,4.2453893898686477e-07,-2.2789720036304003e-06,1.138138974876961e-06,1.6349663076480275e-06,1.4915855507629433e-06,9.167503322129241e-07
30.0,0.008164828807392065,0.0004811538206898425,0.0005733249239856862,-0.0002499773435470994,-0.0019379965316715776,-0.0015476442919839515,0.0007478010717696625,0.002177047958068472,-0.003050023187674904,0.0010551569530271765,0.0033905717958878545,-7.76517863345127e-05,0.0009991504577542614,-0.0027289135106709746,0.002085152319991441,-0.0012712190489202774,-0.0013108166865783333,-0.0004767605849835163,0.0010699439571335535,0.001529895193036136,-0.00016612509239748461,0.001180063887939744,-0.0007822329504034582,-0.0008869503782552822,-0.0006069804778213673,-0.0005722528348126952,-2.1325261714390016e-06,-2.0090880519218623e-06,1.532685827882606e-06,7.532182890890145e-06,5.896674378722771e-06,-2.8165320365685486e-06,-8.331103848943847e-06,6.585120533376174e-06,-2.3598841815928216e-06,-6.447433146619602e-06,2.390562804598314e-07,-2.7060908261143975e-06,6.502788286940398e-06,-4.8615072387602495e-06,3.1446768264225468e-06,2.66573620054287e-06,1.0943440946788977e-06,-2.096019361732653e-06,-3.2559492107553425e-06,3.259054379829132e-07,-2.4245657542741987e-06,1.5898319463661807e-06,1.8164416005220334e-06,1.1913866747522395e-06,1.0529806743046942e-06
60.0,0.0049203256345068565,0.0004734985510429907,0.0005339140740248816,-0.0002870516258128117,-0.0018499364751127661,-0.0014840391562435812,0.0007583539238761859,0.0020596836508786046,-0.0029409219103459106,0.0011352534699824975,0.00331119172074997,3.823868857398342e-05,0.0008879097514764083,-0.00264738247187913,0.0020136567686568577,-0.0012891653105550948,-0.001190252426711315,-0.0005892574196113386,0.0010781475168261637,0.001553307888119168,-0.00015041922096756396,0.001200781215924669,-0.0008493354104612685,-0.0008476152509949775,-0.0007011844894379618,-0.0005583883180333579,-2.1153153819202247e-06,-1.8758321514217396e-06,1.6745846859255062e-06,7.236118506614261e-06,5.679326591855784e-06,-2.866081064138518e-06,-7.973572909121243e-06,6.338406439317633e-06,-2.537263864798766e-06,-6.3003884385707635e-06,2.691088326753477e-09,-2.4488933597651423e-06,6.307450029481378e-06,-4.694700556691593e-06,3.198469383849268e-06,2.4170060942077837e-06,1.316767478981398e-06,-2.1097868704813626e-06,-3.304960909417445e-06,2.913601932367496e-07,-2.466667792381429e-06,1.7248147214888298e-06,1.7407065701979616e-06,1.3749500290810681e-06,1.0240194329864442e-06
90.0,-0.0014231103564006052,0.0004710888077076587,0.0004906260188082085,-0.00033717875906041526,-0.001786937874955583,-0.0014092867087398672,0.0008132168488995681,0.001954973181566754,-0.0028243815477324813,0.000997066685403663,0.003422132798689347,0.000277007181571498,0.0006546146861539994,-0.0024616466055519875,0.0018885221538788495,-0.0012917604707176876,-0.001123804679100737,-0.0007123629002147704,0.001091604296426111,0.0015602187537937422,-0.00014695419386852912,0.001231218913528089,-0.0009053738691737644,-0.0008636165880592393,-0.0007144172497642702,-0.0005587913358743449,-2.1169825365722076e-06,-1.7263160849095416e-06,1.85856958235117e-06,7.0245699029415855e-06,5.4187923756224046e-06,-3.065112256195581e-06,-7.640817839777852e-06,6.074635057412983e-06,-2.237164612629888e-06,-6.5387349772682036e-06,-4.827293785316357e-07,-1.940997220004275e-06,5.883428357816067e-06,-4.408065298590842e-06,3.2093949887879547e-06,2.2811495750861733e-06,1.5642816903440737e-06,-2.1360366002319644e-06,-3.320256021245789e-06,2.8286359051114513e-07,-2.5283267079920683e-06,1.8358756336808284e-06,1.7729191117116508e-06,1.4017051435811211e-06,1.024160993653547e-06
120.0,-0.005386203630539002,0.0004585456133390617,0.0004516988151126232,-0.0003829956386093296,-0.00172436173277929,-0.0013153111614204005,0.0008674393640619254,0.0018422224912364874,-0.0027052306435742476,0.0008066119016151501,0.0035524136619557297,0.0005266956757025911,0.00041300735423200187,-0.0022530546236881306,0.0017469483483930556,-0.0012868787207818949,-0.0010660418193885498,-0.0008322987512739207,0.001092205426027035,0.00156385689405015,-0.00015458333665390356,0.0012662337848597161,-0.0009527672266782229,-0.0008818750457607283,-0.0007233989811064489,-0.000555626427890635,-2.0839434561072815e-06,-1.5912924429707462e-06,2.0253476196093305e-06,6.814783592528528e-06,5.091353319608257e-06,-3.259305563320261e-06,-7.276083292712801e-06,5.804145576332514e-06,-1.8218176726970338e-06,-6.817157913199858e-06,-9.90702560964457e-07,-1.4163554340599162e-06,5.407798345963477e-06,-4.083912564222515e-06,3.199618774624414e-06,2.1645258664979323e-06,1.8061900398703682e-06,-2.1354410097037166e-06,-3.328862698076816e-06,2.97110882768548e-07,-2.5988100276782613e-06,1.929711346593333e-06,1.8090678161709275e-06,1.4195384813898078e-06,1.0181831700938036e-06
150.0,-0.00849070578757245,0.0004448767228530026,0.00040192581954449913,-0.00041998217826450077,-0.0016517447765254701,-0.0011997395940659347,0.0009084032042037454,0.0017133356747909818,-0.0025676724025921133,0.0005775608044200669,0.0036854224928977164,0.000815678317775527,0.00014699750932698646,-0.0020107784876099164,0.0015816900876659897,-0.0012764877690189416,-0.001008277144757885,-0.0009697784117155988,0.0010863329817357083,0.001566396437162214,-0.0001662901665563035,0.0012839343293525967,-0.0009778196087503138,-0.0008962727399465244,-0.0007330066281111541,-0.0005512472109949282,-2.047258331382329e-06,-1.4190316839304421e-06,2.162198732312154e-06,6.568402399225371e-06,4.690187747620035e-06,-3.407344905104392e-06,-6.855279037749504e-06,5.4910148484464e-06,-1.322519582077912e-06,-7.101290017757963e-06,-1.5784172609693283e-06,-8.401750708667618e-07,4.856880420223575e-06,-3.7062473200062086e-06,3.175242761936624e-06,2.048284459043164e-06,2.0841998748271324e-06,-2.1209514680640787e-06,-3.3357983498673466e-06,3.1964214261112417e-07,-2.6342594230279633e-06,1.9796649851479837e-06,1.8369607477577866e-06,1.4386532196574108e-06,1.0100958115214242e-06
180.0,-0.012331034826613258,0.00043172146679995127,0.0003460975387332521,-0.0004439792416322788,-0.0015559662285181406,-0.0011213582609336285,0.0009362239824403469,0.0016035738708744965,-0.002423808666891114,0.00032583512773480614,0.003807510670857989,0.0011787621526373171,-0.00013909182116872442,-0.0017454705191503185,0.0014061872447937074,-0.0012699631990508585,-0.0009831934737263976,-0.0011262133703924663,0.0010968016241273103,0.0015686469207984075,-0.0001765213821148375,0.0012765582587972142,-0.0009708515154862348,-0.0009160669256351471,-0.0007367087614955475,-0.0005512699755397677,-2.0104447990169473e-06,-1.2243936748921614e-06,2.250549534045622e-06,6.237793940039647e-06,4.4196096554194185e-06,-3.5082029176565234e-06,-6.495736645488076e-06,5.1632414718668825e-06,-7.739811068651383e-07,-7.3625854693439455e-06,-2.317564942475398e-06,-2.2114847196659467e-07,4.255690767652658e-06,-3.306493557275437e-06,3.159180446267928e-06,1.9985612367009183e-06,2.4011293008416634e-06,-2.140836733930005e-06,-3.3423288214344385e-06,3.3928021000985266e-07,-2.6188065193126473e-06,1.9659595275717775e-06,1.875153683983541e-06,1.4461846126379785e-06,1.0108916987010967e-06
210.0,-0.01603707260623779,0.0004122779329766579,0.00030501262250057573,-0.0004480104057312123,-0.0014913789697431539,-0.0010656363008458495,0.0009646732730483002,0.0015234416304635873,-0.0022714219644665067,4.9085064293971766e-05,0.003952071768774489,0.001549454945756815,-0.0003955810046804753,-0.0015071437079213464,0.0012506545030005628,-0.0012699737887346425,-0.0009806962644653896,-0.001311875433813467,0.0011105302604161465,0.001575492954181466,-0.00018815630248171007,0.0012438600188363885,-0.0009318235995963773,-0.0009237627742261311,-0.0007501577137731043,-0.0005501438146013988,-1.9503941845630076e-06,-1.0783781629855896e-06,2.266864985862385e-06,6.016378155016611e-06,4.224536751369038e-06,-3.6108033306707555e-06,-6.2320367089346e-06,4.815828771853556e-06,-1.700826305585049e-07,-7.670630539803663e-06,-3.0729450532109405e-06,3.348726838955752e-07,3.7163105082707887e-06,-2.9530217566826396e-06,3.157927712074403e-06,1.994858213413833e-06,2.7774669844230703e-06,-2.1679600896534315e-06,-3.3588522039871742e-06,3.6150476866565406e-07,-2.5515358928605383e-06,1.888473682753172e-06,1.8897339174902527e-06,1.472726509949322e-06,1.0094179818236035e-06
240.0,-0.019311378235115254,0.00038716293761819373,0.00025987863027494796,-0.000434224494279316,-0.0014236756820361453,-0.001016204915339325,0.0009947064261166681,0.0014263356994626089,-0.0020699293620623674,-0.0003156398168736958,0.004140837883276913,0.0018884108590779254,-0.0006357439529966906,-0.0012696430464585952,0.0010952192597282536,-0.001266554017305994,-0.0009875795546110805,-0.0014801555289666697,0.0011388064595589976,0.0015724351928067888,-0.00021048476287023274,0.0012406539933882915,-0.0009070811616484152,-0.0009395449954752675,-0.000758551582918845,-0.0005503791463161234,-1.868717351134643e-06,-9.198076964231218e-07,2.220402812525228e-06,5.784048562477913e-06,4.053645472039674e-06,-3.7218301571401726e-06,-5.910702211391441e-06,4.351404944109102e-06,6.292429360452241e-07,-8.071684093392974e-06,-3.7645252558316016e-06,8.564672959270149e-07,3.179617769506212e-06,-2.6005388162889917e-06,3.1482968269674803e-06,2.010291421604252e-06,3.118926576938962e-06,-2.226070146133396e-06,-3.3535538764890103e-06,4.0606628565977154e-07,-2.5440728961841075e-06,1.8389836120209411e-06,1.9200952699301258e-06,1.490222266938499e-06,1.010359129506934e-06
270.0,-0.02180882656725057,0.00036064240214890336,0.00021930728675701155,-0.00041834614878718786,-0.0013604342556926116,-0.0009692624903222238,0.0010155518512112867,0.0013364561161018367,-0.0018574516377517307,-0.0006939552404595514,0.004335101697262336,0.00218873551905845,-0.0008505126392982874,-0.0010541473332778407,0.0009532436421869428,-0.0012629391835960525,-0.0009928008880015987,-0.0016370618744175273,0.0011690692772776405,0.001566293863406371,-0.00022947755365701104,0.001240590412790127,-0.0008739821385681028,-0.0009768530699058395,-0.0007579078686453805,-0.0005493308552774801,-1.7804865771597242e-06,-7.776761132423847e-07,2.1665742283742287e-06,5.566010287473346e-06,3.890480634666805e-06,-3.8015087514453886e-06,-5.611577735913159e-06,3.862076777942874e-06,1.4587987489403182e-06,-8.48533594130246e-06,-4.378344843323807e-06,1.3244919305808386e-06,2.6921226531924213e-06,-2.278598171052234e-06,3.1375294581880802e-06,2.022692714580797e-06,3.4376195853391885e-06,-2.288881410375733e-06,-3.341231728717726e-06,4.440941299713618e-07,-2.543158547334362e-06,1.7731830070686104e-06,1.9923161925083484e-06,1.4900370502525014e-06,1.0090985106171237e-06
