,error,22.24_a*1,23.04_a*1,23.84_a*1,25.44_a*1,26.24_a*1,27.84_a*1,31.4_a*1,50.3_a*1,51.76_a*1,52.8_a*1,53.75_a*1,54.94_a*1,56.66_a*1,58.0_a*1,90.0_a*1,120.15_a*1,121.05_a*1,122.95_a*1,127.25_a*1,183.91_a*1,184.81_a*1,185.81_a*1,186.81_a*1,188.31_a*1,190.81_a*1,22.24_b**2,23.04_b**2,23.84_b**2,25.44_b**2,26.24_b**2,27.84_b**2,31.4_b**2,50.3_b**2,51.76_b**2,52.8_b**2,53.75_b**2,54.94_b**2,56.66_b**2,58.0_b**2,90.0_b**2,120.15_b**2,121.05_b**2,122.95_b**2,127.25_b**2,183.91_b**2,184.81_b**2,185.81_b**2,186.81_b**2,188.31_b**2,190.81_b**2
0.0,-1.0264936448993498,0.0019186356592168666,-0.0005260292826946585,-0.0012416423451423147,-0.0022117075519008694,0.0004910008456309387,-0.0006764371166897935,0.0024561812490903356,-0.004503919288177128,0.003094337989367528,0.001228412096003273,0.0030368814498105993,0.011673304765907914,-0.006803486224157395,0.006385063237020101,-0.0009794963377099894,-0.005092616472945864,0.0009168122488862314,-0.00012393425363214266,0.001855627601232875,-0.0003583623820084098,0.0006660739479314899,-0.0004937454723983133,-0.001191187850960885,0.00011092909136926768,-0.0008935123915295437,-7.32844470240913e-06,1.7173423111209308e-06,5.246778075374721e-06,8.619477209762993e-06,-1.3094986141737165e-06,1.9381010985685434e-06,-9.106408473409272e-06,9.973255168286744e-06,-6.719085441813155e-06,-1.9707077396487703e-06,-6.525016914202777e-06,-2.5675643731873664e-05,1.6173275609700632e-05,-1.5187829363295003e-05,2.3926660197051503e-06,1.048412938474697e-05,-1.6467778713692868e-06,4.887036185476723e-07,-4.02688729137037e-06,7.609882355736478e-07,-1.4947463783068086e-06,9.309372239255429e-07,2.4195081092857597e-06,-9.167781281035053e-08,1.62650849097581e-06
30.0,-1.1048013110945887,0.0018033165334111249,-0.0005550020672668425,-0.0011903497851997982,-0.0023101019278084947,0.0006305568345340859,-0.0005307403934706354,0.0023082665613135605,-0.004305779367174691,0.0029817777914628394,0.0028567093873176196,0.002158173562419435,0.01200811671344041,-0.006981760661945246,0.0064778934333458394,-0.0010943624977984333,-0.005160611917660411,0.0004693350579335867,0.0001487006893578515,0.0018964841066585903,-0.0006438883058837931,0.0009466697033310781,-0.00044185051790547917,-0.001283638203794314,0.00030580192054712385,-0.0010963992243262421,-6.978448382204791e-06,1.7999427653542122e-06,5.105157474496223e-06,9.013221483415845e-06,-1.7247399224769646e-06,1.4139717397438453e-06,-8.748295172197284e-06,9.489343406399905e-06,-6.471786006708528e-06,-5.31091321097489e-06,-4.706605800103804e-06,-2.6376248118410545e-05,1.6561252833805012e-05,-1.5390741326614536e-05,2.70695004990636e-06,1.0593033955323176e-05,-7.75155751036053e-07,-8.55771475306605e-08,-4.0999594694645645e-06,1.347468939152819e-06,-2.0706154238751492e-06,8.232848511400405e-07,2.6123132730762246e-06,-4.5197876995112714e-07,2.0108761000194155e-06
60.0,-1.0857429191813015,0.0017523063542594453,-0.000612384687986234,-0.0012291741741327763,-0.00228282525097083,0.0007875507974906956,-0.0003977408018699894,0.0021746524062783903,-0.003974758257145787,0.002492506813233604,0.0033239176716023527,0.0019951796594638157,0.011292521956518406,-0.006773060769834115,0.006344350896349372,-0.0011630654478092326,-0.004761670840915466,0.0003557768779832698,0.00036264809135554284,0.001868330787153667,-0.0008243468540610466,0.0012153482695882083,-0.0005371134547896315,-0.0014242436153953392,0.0005037638875533099,-0.0012483050149500467,-6.812193915435416e-06,1.9681297354737915e-06,5.249254502355993e-06,8.933575004838227e-06,-2.2241056832676023e-06,9.57003177111414e-07,-8.360382506534985e-06,8.719006528290026e-06,-5.408038031138239e-06,-6.2957035003857194e-06,-4.356775225160931e-06,-2.4782966950531388e-05,1.604803611507492e-05,-1.506258536970653e-05,2.88076772173064e-06,9.760887550631412e-06,-5.600611544636873e-07,-5.324413362151267e-07,-4.030244987552171e-06,1.7195631095928332e-06,-2.6173039121887597e-06,1.0036317255570849e-06,2.890534866670436e-06,-8.245848872551079e-07,2.3036995513097665e-06
90.0,-1.0855815165869689,0.001671347860918028,-0.0006182286971009942,-0.001237890093247629,-0.002274814555912726,0.000827337621807425,-0.00027973415768744753,0.002140052692487316,-0.0036551747999731712,0.0017001159652485793,0.004086431819256324,0.0017065914631272244,0.0108656760921881,-0.0065439055284344395,0.006146178370426276,-0.0012100800405384653,-0.004503283513040905,0.00035001539249295477,0.0005930335307324982,0.0018202636623050336,-0.00098021346313684,0.0014940779719616014,-0.0005647366041575371,-0.0016700511213709624,0.0007247769726466268,-0.0013613306133772561,-6.541904577499361e-06,1.959514423197713e-06,5.292152341969768e-06,8.922357144298019e-06,-2.3239005191944557e-06,5.492204589800655e-07,-8.289484030670228e-06,7.983810641157468e-06,-3.6937708908502866e-06,-7.87965847846921e-06,-3.752703290448882e-06,-2.3836319292300356e-05,1.549584238756892e-05,-1.4586558621614307e-05,2.995246751584425e-06,9.223285807625652e-06,-5.569411542137544e-07,-1.0099050480710673e-06,-3.919853787488548e-06,2.0394555402315502e-06,-3.1793054496312987e-06,1.0533490212911671e-06,3.3723101744301887e-06,-1.2462794864414288e-06,2.5216129080767886e-06
120.0,-1.0846588049208299,0.0015908968763422885,-0.0006421224324799113,-0.0011912657096900619,-0.0022856477061590093,0.0007936156492426207,-0.0001442169599035854,0.0021402656865511112,-0.003376747431442536,0.0009377969854999987,0.004802654804584432,0.0013066155194241301,0.010424418498248822,-0.006227888233481785,0.005878802102409269,-0.001251293985434369,-0.004160635808686837,0.0003984724120409842,0.0008299824723947681,0.0017646636480047665,-0.001118065510499527,0.001784535616326024,-0.0006145752009448498,-0.0019225150080616907,0.0009404583029219002,-0.0014570059781232867,-6.2705008677497955e-06,2.008418469237308e-06,5.147270624648198e-06,8.977271556958127e-06,-2.1724510160914026e-06,8.061595452802316e-08,-8.328425214076283e-06,7.34933536496849e-06,-2.045156165576847e-06,-9.373940360245587e-06,-2.9191264847621125e-06,-2.286187901484736e-05,1.4750647703776783e-05,-1.3955793576606258e-05,3.0908611727545197e-06,8.514061433945579e-06,-6.597987872498137e-07,-1.5008557901311957e-06,-3.7915810640655097e-06,2.3204491468500467e-06,-3.7604535650585417e-06,1.1476212242284327e-06,3.865534509163672e-06,-1.6586061801419888e-06,2.705522170019799e-06
150.0,-1.0815168477969166,0.0014998175139310248,-0.0006451566683084597,-0.0011628699382272307,-0.002284356948159586,0.0007875347917340025,1.378111205152955e-05,0.002082359072536925,-0.0030754658659656116,0.0002349686919524835,0.005340820868474766,0.0009631230189473322,0.009925359371935272,-0.005867895913278016,0.00558368817332555,-0.0012928227912535246,-0.003715839732442658,0.0004072649782490339,0.0010569452854749316,0.0017144276651714094,-0.0012442898047905922,0.002066495225100907,-0.0007141678700738166,-0.0020926164001998085,0.0011155375197927247,-0.0015352668801537816,-5.9729179180398e-06,1.9958435139709117e-06,5.0682750035561156e-06,8.988757301707056e-06,-2.1231730441726036e-06,-4.5758394370577703e-07,-8.172041661221862e-06,6.6579863778562746e-06,-5.240771225492022e-07,-1.0499082514415692e-05,-2.205368405272468e-06,-2.1764340479257307e-05,1.3906300546101222e-05,-1.3261710819874555e-05,3.1862941965241503e-06,7.596725207296917e-06,-6.796173785225316e-07,-1.9717928661294284e-06,-3.6756102273534448e-06,2.5774844516682653e-06,-4.323169654668429e-06,1.3398963292353909e-06,4.197710821321129e-06,-1.9941653988659814e-06,2.856516304043941e-06
180.0,-1.0692990691311108,0.0013815713276912995,-0.0006097336863119806,-0.0011566478760678335,-0.0022390004221088345,0.0008092105765545535,0.00015281461521201353,0.0019771612383182816,-0.0027508788045556795,-0.0004523230756874313,0.005772654338211558,0.0007340227327202221,0.009324212993081372,-0.005513909354095489,0.005303670558182491,-0.0013291890189145784,-0.003203995379972258,0.0003487820502866058,0.0012487636934815783,0.0016754499493407836,-0.001358351610910574,0.0022984393374026585,-0.0008118305993757473,-0.0022132662280424705,0.0012561184734645016,-0.001598386288332429,-5.590573593123511e-06,1.8631880606173037e-06,5.0650960067269975e-06,8.848032590857107e-06,-2.177120582813809e-06,-9.248538884376524e-07,-7.857186418186307e-06,5.909881710196305e-06,9.645873369973523e-07,-1.1401589035086638e-05,-1.734616389507268e-06,-2.044138579266614e-05,1.3075251655946725e-05,-1.2602179081888738e-05,3.2696630382954444e-06,6.5437836557636955e-06,-5.598270034025295e-07,-2.3694036347353275e-06,-3.586945642283633e-06,2.808189586440512e-06,-4.784079873588501e-06,1.5301738397669418e-06,4.4320404837666e-06,-2.2660794057014084e-06,2.9804171263948994e-06
210.0,-1.0455771046696136,0.0012515255755480763,-0.0005975825088279029,-0.0010746228502858915,-0.0021831127423753683,0.0008374923905714697,0.00023421899372874557,0.0018649627876192831,-0.002385982425515207,-0.0011888888964012405,0.00624902922858649,0.00039812375522466775,0.008637596628883429,-0.00516445913492193,0.005039251238996968,-0.0013687480862280442,-0.0026710945659600156,0.0003227744388450476,0.0014459927996060794,0.0016257091869147093,-0.0014508130310103224,0.002452032330584229,-0.0008424929804674826,-0.0022913870483740858,0.0013104136998820966,-0.0016218600930226023,-5.170006420707957e-06,1.8058545504312988e-06,4.81385900757318e-06,8.66867789583967e-06,-2.255621830803552e-06,-1.1982672505102768e-06,-7.514028099403956e-06,5.068102586150947e-06,2.5617144127407826e-06,-1.2397523694456226e-05,-1.0463094606941762e-06,-1.8930297372469205e-05,1.2257917541624452e-05,-1.1981883902743403e-05,3.3582832992195825e-06,5.448294486553918e-06,-5.023143881891199e-07,-2.7757197122629663e-06,-3.4774643773936632e-06,2.9951718379928204e-06,-5.090130116723687e-06,1.5917964208083306e-06,4.582026966532844e-06,-2.372827305299055e-06,3.0279741292689094e-06
240.0,-1.0158858458478792,0.0011581281303280526,-0.0006255511992345902,-0.0010008008683046327,-0.0021211031560889803,0.0009310036954629725,0.00023337255650892307,0.0017604325015440243,-0.0019858196790442408,-0.001905482482186121,0.006696809967049655,7.54522018107176e-05,0.00791637012613405,-0.004779828278614322,0.004758345939562966,-0.0014117065885296768,-0.0021965472518245066,0.0003307344521409376,0.0016098312098753397,0.0015914701760068222,-0.00153950272086498,0.002573843091509729,-0.000895779291215028,-0.0022993714807991892,0.0013166831328928225,-0.0016311741247702198,-4.874543155212079e-06,1.8824672506702832e-06,4.5949290838331784e-06,8.461945499582032e-06,-2.5491495438685134e-06,-1.1964355824392347e-06,-7.195884119838825e-06,4.144792458389025e-06,4.11943673211273e-06,-1.3341137503634187e-05,-3.8740751934181056e-07,-1.733841682194284e-05,1.1361512421702269e-05,-1.1326858177870422e-05,3.454608877577481e-06,4.473586726808332e-06,-5.107695771258245e-07,-3.1095340631196003e-06,-3.404654102233209e-06,3.173981016303001e-06,-5.332751551862035e-06,1.6985995152328893e-06,4.59515997371117e-06,-2.388136697071428e-06,3.049446600210609e-06
270.0,-0.9799003068451899,0.0010473362451921923,-0.0006370459096755857,-0.0009189949107892485,-0.0020276353779333394,0.0009964611802143466,0.00019217673788351694,0.0016662103547894058,-0.0015420708038601807,-0.0026671583144302364,0.007125643977814967,-0.0002440625058270588,0.007184519935162948,-0.004400046203370946,0.004489228849256672,-0.001457546907741166,-0.0018121189754794235,0.0004231491607547006,0.0017676395177498219,0.0015613425550317257,-0.00162967535287659,0.0026488748035744837,-0.0009127950460495326,-0.0022924253667767833,0.00131007560608132,-0.0016388965314405048,-4.52521704025499e-06,1.9038174812582395e-06,4.351520537892405e-06,8.153618140319502e-06,-2.742159099652674e-06,-1.0637632149420036e-06,-6.915383423322693e-06,3.1230699464700913e-06,5.776595416934585e-06,-1.425184862074982e-05,2.658814485912289e-07,-1.5718251574522266e-05,1.0475034406213598e-05,-1.0699500871582813e-05,3.557779915487864e-06,3.684992578719343e-06,-6.907143233753055e-07,-3.4289980175157105e-06,-3.3424703535358975e-06,3.3550395702318992e-06,-5.480551598254364e-06,1.7322410592413357e-06,4.578944730066898e-06,-2.377497781328661e-06,3.0679139416692877e-06
