,error,22.24_a*1,23.04_a*1,23.84_a*1,25.44_a*1,26.24_a*1,27.84_a*1,31.4_a*1,50.3_a*1,51.76_a*1,52.8_a*1,53.75_a*1,54.94_a*1,56.66_a*1,58.0_a*1,90.0_a*1,120.15_a*1,121.05_a*1,122.95_a*1,127.25_a*1,183.91_a*1,184.81_a*1,185.81_a*1,186.81_a*1,188.31_a*1,190.81_a*1,22.24_b**2,23.04_b**2,23.84_b**2,25.44_b**2,26.24_b**2,27.84_b**2,31.4_b**2,50.3_b**2,51.76_b**2,52.8_b**2,53.75_b**2,54.94_b**2,56.66_b**2,58.0_b**2,90.0_b**2,120.15_b**2,121.05_b**2,122.95_b**2,127.25_b**2,183.91_b**2,184.81_b**2,185.81_b**2,186.81_b**2,188.31_b**2,190.81_b**2
0.0,-1.089004921232878,0.0019744302979701053,0.000603738264566838,-0.0024429470826857567,-0.0027378380130720645,-0.0005441535077406574,0.0011722978189595591,0.0021912695309657896,-0.0056383662605397275,0.006454959729274623,-0.004143366585649499,0.004214550554553331,0.009392417640136774,-0.0034612517444558197,0.0037577748950810585,-0.001037462943256745,-0.0012632952851095013,0.001009811652724338,0.0005917970772131597,0.0016827282837320373,-0.000217824107717932,0.00039405469305483967,-0.0001765556012814024,-0.002131530103392985,0.0007457456381638741,-0.00109848817764732,-7.472837934861731e-06,-2.046170199915492e-06,9.147288402198196e-06,1.0633020791267372e-05,2.3798879610891753e-06,-4.527917966066515e-06,-8.403234978815445e-06,1.2748766750414543e-05,-1.397670694601996e-05,8.876159504387902e-06,-8.888906693229522e-06,-2.0853063395338253e-05,8.435065483894098e-06,-9.07183327386868e-06,2.516303576779423e-06,2.691293631097674e-06,-1.8407046414715473e-06,-1.0574439309826122e-06,-3.6013334490191606e-06,4.5957102675820327e-07,-9.062248183272185e-07,2.89614055945163e-07,4.223444674076019e-06,-1.2660932190946472e-06,1.987984975019636e-06
30.0,-1.183910336661124,0.001821890841723521,0.0007061695641914969,-0.002523994299176866,-0.0028162097522614112,-0.00040335910981085263,0.0013861667266631631,0.0019948752005436513,-0.0053701174088774725,0.006293242542841165,-0.0028732338797152653,0.004167903079132898,0.00988008535342386,-0.003972943289438101,0.004164351270983783,-0.001174910699680699,-0.001928171256576597,0.0006394642907326502,0.0009495490400974413,0.0017151057648951591,-0.0004968647573819571,0.000632547172827342,9.29194755653652e-06,-0.0023362699230336016,0.0009222432089204548,-0.0012855043760108492,-6.940601635450646e-06,-2.4306657129732946e-06,9.430731532105331e-06,1.09390242226205e-05,1.9350641480966645e-06,-5.277150457732289e-06,-7.85494602388527e-06,1.210885574525443e-05,-1.3633762661646238e-05,6.263685285284249e-06,-8.772523531280373e-06,-2.1916792765609213e-05,9.586655095086563e-06,-9.98550180611906e-06,2.87820499907891e-06,4.046195071385475e-06,-1.121977548445884e-06,-1.8077506048923617e-06,-3.6539262339726196e-06,1.0347818557164393e-06,-1.4043608595970734e-06,-7.464360035952215e-08,4.640074955085032e-06,-1.5970068009200762e-06,2.3419886169215625e-06
60.0,-1.170668714413418,0.001735233640166825,0.0007221142796668529,-0.0025774033645950523,-0.0028257004454808514,-0.00027084938709501444,0.0015050776759193696,0.00192126629673139,-0.005017703464885015,0.00565588473391015,-0.0023747452236142653,0.004428184697408122,0.009301181378941394,-0.003732823553669942,0.0039884789910748,-0.0012588516886153653,-0.0019418827740001537,0.0004226539684531758,0.001289153789413865,0.0016641222676232932,-0.0006587035896699737,0.000830140524554566,3.949559486425428e-05,-0.002499056071570849,0.0010578796812360206,-0.0014117502421690448,-6.627084367524026e-06,-2.505654896552524e-06,9.592049075794446e-06,1.097871101872097e-05,1.5031601534576935e-06,-5.6747623233062465e-06,-7.649809328354589e-06,1.1295971349193802e-05,-1.2259257971848536e-05,5.218486645799236e-06,-9.2911514400811e-06,-2.0631183973256134e-05,9.002300208239813e-06,-9.556145783359127e-06,3.080995261405727e-06,4.070603553814825e-06,-6.986106510979964e-07,-2.514530293081563e-06,-3.5310271685080356e-06,1.3708931912153304e-06,-1.8151239930402242e-06,-1.3652412969852526e-07,4.967373750577531e-06,-1.8528376021513535e-06,2.583459320272318e-06
90.0,-1.1693348188512014,0.001609965770116611,0.0007704619887440823,-0.0025546346868309962,-0.0028676926655323205,-0.00023815634707473565,0.0015453714906869549,0.001991990138927224,-0.004729891748972001,0.004910872002084074,-0.0017584656421169645,0.004516240629144243,0.008872455469069502,-0.0034644726477781164,0.0037431222111794804,-0.0013215527895533755,-0.001915640559705751,0.0003570151775624188,0.001549542017176548,0.0016217365326981297,-0.0008104564307904549,0.0010920901908318872,4.575557505043931e-05,-0.002726963614583231,0.0012336102237408691,-0.0015077181508908093,-6.193514954322798e-06,-2.6841792954092605e-06,9.501247312095502e-06,1.1131571099282662e-05,1.4059470025499639e-06,-5.795674488742535e-06,-7.914165414015756e-06,1.0629874879120836e-05,-1.0644532544375157e-05,3.9388060364665845e-06,-9.465732863192654e-06,-1.9677742460353795e-05,8.360204760639511e-06,-8.970362920388204e-06,3.2285397124714765e-06,4.011427716975103e-06,-5.719977457472016e-07,-3.0596770381992133e-06,-3.4273902538157983e-06,1.6832854163517288e-06,-2.3484704187733865e-06,-1.4674837429893248e-07,5.415642498815818e-06,-2.190452083913296e-06,2.76860805620023e-06
120.0,-1.170174640299885,0.0014592854874871848,0.0008150156752150368,-0.0024768820512976403,-0.0028692578320730646,-0.00028151334766462896,0.0015583526705190524,0.0020907075483098314,-0.004418783345291705,0.004115565329769503,-0.0011751865762528822,0.004475823975340526,0.008506454457821881,-0.0031063380888033906,0.0034051688830032383,-0.0013785478224618202,-0.0018709089322603636,0.0004549557943438348,0.0017517132772729013,0.00158903189746389,-0.0009511017337580906,0.0013844542524977747,-2.1890604878518037e-06,-0.002953434402331085,0.0014248046283423738,-0.0015949698128538028,-5.684975246508891e-06,-2.8481136104730348e-06,9.23779705755535e-06,1.114276290648313e-05,1.5623800262482595e-06,-5.817964674281878e-06,-8.2661548272576e-06,9.906078670126389e-06,-8.91625032359172e-06,2.7255475540946203e-06,-9.379859771758379e-06,-1.8859624442147584e-05,7.5156031539600115e-06,-8.175621623855955e-06,3.3603092109432593e-06,3.912826645810828e-06,-7.710149103896076e-07,-3.4849175993149293e-06,-3.344416906772783e-06,1.9704213551500823e-06,-2.9385097110729483e-06,-4.75616729351651e-08,5.856982275855856e-06,-2.5591003234906284e-06,2.937728846159376e-06
150.0,-1.173474570377592,0.0013026154305210008,0.0008351544902295144,-0.00237268196208118,-0.002793863117359998,-0.00032582917434586953,0.0015338463635146925,0.0021469503929675837,-0.0040442743298058775,0.0033084164969414184,-0.0006826820045238539,0.004476032980044637,0.008188163735780622,-0.0027363251008676545,0.003060300646010269,-0.0014383841153575174,-0.0018595588847912618,0.0005935471332372936,0.0018976968596381327,0.0015762980301257416,-0.0010679091719377524,0.0016334853954342323,-5.350182207280009e-05,-0.0031337662090546404,0.0015905998620558792,-0.001667557688849154,-5.163660171155222e-06,-2.9290716207350556e-06,8.893063728168783e-06,1.0889058231474017e-05,1.7214011325147375e-06,-5.71042793021684e-06,-8.476812219655365e-06,9.03376681940119e-06,-7.164440431368603e-06,1.7017360965090056e-06,-9.377791699547625e-06,-1.8149290728913957e-05,6.6485898314100785e-06,-7.368537037319361e-06,3.4980482814042155e-06,3.882411461569526e-06,-1.0495735630814253e-06,-3.7908600872668295e-06,-3.307081237572654e-06,2.208432921303048e-06,-3.440507639817114e-06,5.966433278385216e-08,6.206188720972387e-06,-2.880251349249012e-06,3.0795806422455587e-06
180.0,-1.172351467727835,0.0011391047851836884,0.000834911910255566,-0.002240625368466948,-0.0026439058003683226,-0.0003882751861331344,0.0014976778449222686,0.002151521685818918,-0.003650597573599676,0.002496152057286696,-0.00020335295108179878,0.004556586848721867,0.007849106149318337,-0.00238016337425628,0.002736276408263263,-0.0014943556511187262,-0.0018531204210035304,0.0006600930827925712,0.002016083748707665,0.0015749392509075246,-0.0011634318972205775,0.0018267372452349109,-0.00011863551396077646,-0.0032418981478299735,0.001708676102209827,-0.0017232740061476613,-4.627957119963187e-06,-2.9356415659204523e-06,8.458359466186758e-06,1.038022175584426e-05,1.9424519175766617e-06,-5.5619178445068425e-06,-8.518707868599398e-06,8.118620937090861e-06,-5.402894467068464e-06,7.040762608605402e-07,-9.542162961509571e-06,-1.7393510933332485e-05,5.814335006085083e-06,-6.610382980216004e-06,3.625311453122204e-06,3.864404983979685e-06,-1.1808524747943142e-06,-4.033875016083779e-06,-3.2984165775264597e-06,2.4024133033598058e-06,-3.8298959444756345e-06,1.9410664081782463e-07,6.414054314638523e-06,-3.110341446615935e-06,3.1893582273804623e-06
210.0,-1.1649987817801306,0.0009113702516902896,0.0008930382805667288,-0.0020683402884344227,-0.002475464387422648,-0.00043832197826837807,0.0014004256989763025,0.002145270184366556,-0.0032916454132022746,0.0018411291573199179,0.00016231913700739606,0.004613136700492589,0.007511942667183986,-0.002036835740878808,0.0024275814931728327,-0.0015471230844780186,-0.0019092824016278456,0.0007895409213174755,0.002077627356543982,0.001579564286450623,-0.0012391102526414662,0.0019473695322217502,-0.0001451933377805809,-0.0032610317345718965,0.001720605538363174,-0.0017348578295129083,-3.8789114213226205e-06,-3.1396765485376955e-06,7.891076464743753e-06,9.812312595573636e-06,2.127776869615986e-06,-5.212732079337767e-06,-8.526600714008406e-06,7.2853733863444e-06,-3.979346497243834e-06,-6.219405961951964e-08,-9.659092391842156e-06,-1.664098270894831e-05,5.012752508526036e-06,-5.891290941076603e-06,3.744563484625891e-06,3.979441218420771e-06,-1.4400494158853984e-06,-4.156188279863401e-06,-3.305321595571707e-06,2.5548318563678038e-06,-4.071315884744831e-06,2.5018557498535187e-07,6.449557295047499e-06,-3.1362328230375675e-06,3.2134578106531614e-06
240.0,-1.153711750664641,0.000679730055733791,0.000953890393462851,-0.0018895165853365591,-0.0022583090114234455,-0.000566944191097964,0.0012844195018586954,0.0021708458837795697,-0.002902874801114874,0.0011338729913779252,0.0005886487274704109,0.004608544075805738,0.007254689617737179,-0.0016761428857514147,0.00210062869576488,-0.0016006021233670683,-0.002101710704450358,0.0009851510965632956,0.0021535417060711795,0.0015747501741901625,-0.0013178735647787505,0.0020496270365535614,-0.00018305776328544692,-0.003250816074341839,0.0017142162748387045,-0.0017372233751493363,-3.118744308615184e-06,-3.358634640492608e-06,7.308192922795047e-06,9.08554098276827e-06,2.5819551638941997e-06,-4.804347696089107e-06,-8.641734374838539e-06,6.381901494638678e-06,-2.4390212800995577e-06,-9.543371153030917e-07,-9.655356386302063e-06,-1.605829573096866e-05,4.169500800689177e-06,-5.130915897950345e-06,3.866461079863451e-06,4.379037149330126e-06,-1.8344196463858528e-06,-4.308200860739425e-06,-3.2935177509277265e-06,2.712089357653265e-06,-4.272887230543391e-06,3.265014106142717e-07,6.4272080898634375e-06,-3.127921053667921e-06,3.2214878769324846e-06
270.0,-1.1382945691168145,0.00047079875963257887,0.0010008026782479607,-0.001717072359244726,-0.0020404081400767714,-0.0007271069434661049,0.0011660174354697524,0.002211605966955534,-0.0025077002479219302,0.00035530583722485735,0.001104189125290445,0.004543644662881595,0.007078396466417427,-0.0013639563290968636,0.001814905193718985,-0.00165173291512895,-0.0024638460463473084,0.0013014270649625817,0.0022267537611353307,0.0015728014433633762,-0.0014092508602763427,0.0021290299768903795,-0.00016698240647598566,-0.0032914499765616303,0.0017289474622837666,-0.0017449263058932594,-2.4277715417276706e-06,-3.537250811731127e-06,6.744931834053689e-06,8.359000429006803e-06,3.1427696948786232e-06,-4.390163763961393e-06,-8.806026540367645e-06,5.463498407307232e-06,-7.4208477860821e-07,-2.0314399341063983e-06,-9.535519622523869e-06,-1.564868128152859e-05,3.4328279258059874e-06,-4.4627094312251825e-06,3.983345316328565e-06,5.132114070360331e-06,-2.4694738613745637e-06,-4.454282649326197e-06,-3.2895799989647755e-06,2.8945341424448176e-06,-4.4274814582110914e-06,2.9571441653514967e-07,6.502404453324025e-06,-3.1589400474713574e-06,3.239788127697434e-06
