,error,22.24_a*1,23.04_a*1,23.84_a*1,25.44_a*1,26.24_a*1,27.84_a*1,31.4_a*1,50.3_a*1,51.76_a*1,52.8_a*1,53.75_a*1,54.94_a*1,56.66_a*1,58.0_a*1,90.0_a*1,120.15_a*1,121.05_a*1,122.95_a*1,127.25_a*1,183.91_a*1,184.81_a*1,185.81_a*1,186.81_a*1,188.31_a*1,190.81_a*1,22.24_b**2,23.04_b**2,23.84_b**2,25.44_b**2,26.24_b**2,27.84_b**2,31.4_b**2,50.3_b**2,51.76_b**2,52.8_b**2,53.75_b**2,54.94_b**2,56.66_b**2,58.0_b**2,90.0_b**2,120.15_b**2,121.05_b**2,122.95_b**2,127.25_b**2,183.91_b**2,184.81_b**2,185.81_b**2,186.81_b**2,188.31_b**2,190.81_b**2
0.0,-493.2130724841629,-5.072461292997609,7.183019286635513,4.725444854098981,-6.747611908399932,-7.483124572184835,-1.9275629359658382,11.022360195328403,-2.5320666961588074,-27.614091734418608,40.88150409838363,-3.873842960704714,7.55004001700361,-6.376223209482788,4.473418371208197,-2.8252800430980045,-9.307716971730827,-2.786759787772681,6.906985108981104,-0.11226648291903985,-4.840472283441066,7.077245709927084,-0.016393328405783336,-7.212385778002549,3.50905962511073,-0.3945969447607425,0.016034988096917613,-0.02437223190038823,-0.013962424478220353,0.025390648037433683,0.026900265201578843,0.006012817679658278,-0.038439600115663025,0.0037941922109721027,0.06092801669188552,-0.08113258842836638,0.006665630842888057,-0.01858962630837599,0.017180948616758892,-0.01192479253536027,0.00655953403147283,0.01933213796119697,0.006561723792195093,-0.014296263972216176,-0.00013059929222403177,0.010272971333371836,-0.014647516845573944,-0.00017738283919047082,0.014297086761883682,-0.006265987971919448,0.0007172250017591017
30.0,-541.8684390534024,-4.988336157660868,6.932164177531973,4.577085176240118,-6.520700792244867,-6.996155361436195,-1.9481813161852344,10.413205541548955,-3.0376065134485515,-25.11962927042964,39.483950339454864,-3.6016441107239956,7.379080463153581,-5.975487410500449,4.211496274300485,-2.8609273395714396,-9.100402875326921,-2.89158787434981,7.09130341127978,-0.12070012968199961,-5.044171912146751,7.458208451235706,-0.3221258813981507,-7.128526219804421,3.2602982797341724,-0.5132292191183137,0.015613906426376029,-0.023475055002489087,-0.013278365030367972,0.024709676027268423,0.02521346138218017,0.006002281784668023,-0.036606930768545126,0.004887835703196092,0.05548462957394268,-0.07817162669604184,0.0061498127491167315,-0.018176170122980638,0.016279508741304363,-0.011346541000623905,0.006744398337857983,0.018847200608695935,0.006692350983720452,-0.014724147862576975,-8.50461212012904e-05,0.010692958915690387,-0.01543395929612959,0.00042395156314203875,0.014155249006167894,-0.00575101616304155,0.0009340598100504999
60.0,-586.9880249286584,-4.921907640132289,6.7028558767835165,4.382294122477276,-6.27901781172686,-6.467903975072289,-1.7689812570198455,9.755357096101974,-3.4272907914139097,-23.742109523880572,39.107053514577615,-3.650745634327059,7.495631459307667,-5.832689239159553,4.126461987729891,-2.854171492162699,-9.1345081589686,-3.0604140425264106,7.256336072345189,-0.14290424880223895,-5.154899268212709,7.789380658245918,-0.8133022339544027,-7.1308543404271845,3.569627314684979,-0.7483287344125067,0.015289547129604897,-0.022646660956621323,-0.012473584191495107,0.02391114699043273,0.02334821046613611,0.005304765881931961,-0.03450141815658908,0.005752113971352973,0.05248153541266548,-0.07732928580323228,0.006274845529444573,-0.01841172076288266,0.015981644065378144,-0.011179400686288591,0.0067977939662013445,0.018876700282918005,0.0069804773891617294,-0.01510132602438595,-2.5193599472603245e-05,0.010925529740401979,-0.01611795321208037,0.0013868150477509417,0.014175989266582784,-0.006319476555295037,0.0013793495845633753
90.0,-606.562343673495,-4.807728160947427,6.344289090631989,4.249352456153218,-5.721448957398778,-5.890811021150341,-1.6728312370983929,8.892834811326303,-3.694562182009733,-22.23650560001724,37.88030801759757,-3.587800012946751,7.4495409942223425,-5.786120769530514,4.1199144393096745,-2.8346753199620984,-8.940616289615527,-2.937559635850903,7.288692991680053,-0.17690679184525493,-5.241350060409317,7.977356195079196,-1.0568191624781988,-7.104533159832037,3.7089817106236964,-0.9251290897763376,0.014814522161335497,-0.021372505777321693,-0.011905418937320444,0.02198933387997043,0.02132817719203317,0.004909694575696288,-0.03168403958056887,0.006347639069116118,0.049198161464107715,-0.07475850119422944,0.006157270258012271,-0.018291291303302905,0.01588826446212272,-0.011179349879004557,0.006798357890348057,0.018449693997035416,0.006690162238936773,-0.015189775778817909,5.6439882388348295e-05,0.011105083680419639,-0.01650777581589638,0.0018624948915415968,0.01413761049505205,-0.006565770995188139,0.001711414767127252
120.0,-622.6395316325854,-4.6811544551827495,5.9260196746277956,4.112691224789607,-5.065861588652822,-5.232139635278287,-1.5362936694440705,7.8841817883845735,-3.9181315267580885,-20.798866821729035,36.5633246221432,-3.42569054534421,7.403303867404734,-5.79019509748519,4.150825244959873,-2.788200772892221,-8.762590306802032,-2.7933267071086973,7.2775009704129925,-0.22821730051325773,-5.328221264601076,8.128767811961652,-1.2593573483802842,-7.049906056036697,3.8254308454928534,-1.0923658574256265,0.014301949206225545,-0.01988881662307662,-0.011335766458736796,0.019722803625153107,0.01902143409382695,0.004376343421650608,-0.028363443966757496,0.006844862440534533,0.04606316053629761,-0.07200623052523372,0.005834019358044257,-0.018172169983009863,0.015908167819577875,-0.011262513357651058,0.006728532820452202,0.018058199495030347,0.006359401552198815,-0.015184462201560073,0.00017360055040184508,0.011285208179627831,-0.016823649084087927,0.002257202517941939,0.01404351483081695,-0.0067683033073208665,0.002024756128469453
150.0,-634.37167508998,-4.551748259174346,5.466180672328264,3.963175157511202,-4.319679383874075,-4.4997767108171445,-1.4091838518663948,6.790750956838799,-4.166887714820845,-19.281265565091985,35.17169643343641,-3.3699974627599616,7.3392350859642335,-5.845170659129803,4.219556064185736,-2.723534982808985,-8.482105251299188,-2.5999853377967455,7.214618373266733,-0.2882224103286646,-5.421243772098649,8.28128403626323,-1.4156512173006561,-7.044610568178676,3.9495988509658986,-1.255402010310485,0.013783547778905114,-0.018265891972838344,-0.01072444860717739,0.017142143314806346,0.016455667785152284,0.0038796390830332095,-0.024755662698515007,0.007401234648877958,0.0427512113300651,-0.06910004884865303,0.005731358399022252,-0.018014617277175266,0.01603820204425816,-0.011426564514062591,0.006615086849682594,0.017454851752342737,0.005929749352561964,-0.015068691081338827,0.00030686018120931746,0.011478741276954599,-0.017142742378725706,0.0025599889704421425,0.014046312164816749,-0.00698680197116619,0.0023304499982724353
180.0,-645.3958773834706,-4.412930517555296,4.9542043699705545,3.853040884553799,-3.530138523061268,-3.791501056448027,-1.293575348494869,5.7221103789529195,-4.534846287752089,-17.69189832547579,33.92376000093289,-3.531072570027611,7.242558291562865,-5.917663535192403,4.303688983909476,-2.6459597281348195,-8.05689454105189,-2.4552501212973326,7.2026399687353155,-0.38338842671389983,-5.518704117965633,8.43744796811147,-1.5433139500996447,-7.079357144266055,4.079431725123399,-1.4152243761422412,0.013233144936391467,-0.016456835815807203,-0.010257929399884874,0.014405133786797253,0.013974599515087394,0.0034258372218057,-0.021226521177986374,0.008242534064572399,0.03927712485475171,-0.06649170005864155,0.0060811304507655956,-0.017786575232731007,0.01620550772201678,-0.011622692375657152,0.006467951874974592,0.01654770218782481,0.00560267082430628,-0.015061620484509642,0.0005189625552187715,0.011681849754232171,-0.017470524964488504,0.002807008178119394,0.014127438047802782,-0.007216291788266979,0.0026290868467718533
210.0,-658.4112045056961,-4.273542591777051,4.524784804016164,3.6784934010115435,-2.814308392381264,-3.096285224237164,-1.1583422638038172,4.720751466025192,-4.948087661856576,-16.146511641020368,32.75810243336994,-3.8113706820594118,7.18748338605014,-6.008585493388901,4.389195847043961,-2.5706563542921828,-7.641497603857054,-2.201909478891828,7.1817285866656455,-0.4856280429376305,-5.609311933033219,8.582410644054733,-1.626087753603791,-7.157276745828298,4.2231687615218405,-1.571692359749159,0.01268744433381025,-0.014940208995872728,-0.009564763868541548,0.011922841291606978,0.011539150640322737,0.00290359702882817,-0.017918491893312183,0.009188573633205743,0.03590229157191843,-0.06405517131244105,0.006676939204968438,-0.017652819218889497,0.016415611868078064,-0.011821794130588256,0.006322920200157914,0.015662753339630922,0.005053411417833623,-0.015034492053460906,0.0007487924730558843,0.01186917478840048,-0.01777378989851064,0.002966820925504224,0.01429301061051809,-0.0074749558534652205,0.0029207958088026363
240.0,-674.2582095346172,-4.151967826369557,4.130841658127835,3.4880556479036713,-2.103566029376651,-2.371516119597402,-1.0184010675488295,3.6933518406267467,-5.385695855731768,-14.58085522287206,31.55937720468272,-4.07587711397268,7.102648768683544,-6.112697208850168,4.486258390792812,-2.4827564650162053,-7.164864230601836,-1.9535508077453514,7.185597792527615,-0.6127935977933099,-5.7021400856542215,8.662885241177136,-1.64454977203836,-7.241254462923919,4.404567872326851,-1.7562249934734666,0.012204672151021945,-0.013545133181023683,-0.008814287113845826,0.009456812632783418,0.00900427953029903,0.002363895212945527,-0.014529958307073043,0.010195751911949547,0.03248255492066865,-0.06155378764553947,0.007241152146684457,-0.01745256826768917,0.0166489498383725,-0.012041554045657163,0.006148309522020223,0.014651432213309473,0.0045131143683594666,-0.015060261166097572,0.0010334223382723051,0.012060277863887331,-0.01794588272036257,0.002997606742932965,0.01447310776920474,-0.007806324809606413,0.0032660380853164472
270.0,-690.5476600396855,-4.012500540910722,3.7470773807030326,3.2599887359281325,-1.3839672686669218,-1.6645142478731145,-0.8585498674012157,2.6819579811948984,-5.8648302188690025,-13.026584307878181,30.41893074863671,-4.389848850647297,7.03894866411936,-6.238439576165682,4.597027865630594,-2.3923922988009245,-6.69140000521444,-1.675545012394295,7.189149647070208,-0.7441432226801616,-5.7970249626529835,8.688427922354194,-1.6074161709139005,-7.318017157183469,4.580313593747896,-1.947766953229669,0.011663479722644005,-0.012184991424860347,-0.007936405629577287,0.006959286435931689,0.00653320976477112,0.0017542172925923971,-0.011194441030230734,0.011302738577299687,0.0290859483556829,-0.05917378209675397,0.007908660709988052,-0.01729886413243903,0.01692875138070878,-0.012289851994912643,0.005966836732363416,0.013646915189886907,0.003911129841499786,-0.015084639262023327,0.0013276272709203535,0.012255156123123431,-0.018007287658046683,0.0029188051720347163,0.014640034960857307,-0.008127133839978762,0.0036245880795756184
