,error,22.24_a*1,23.04_a*1,23.84_a*1,25.44_a*1,26.24_a*1,27.84_a*1,31.4_a*1,50.3_a*1,51.76_a*1,52.8_a*1,53.75_a*1,54.94_a*1,56.66_a*1,58.0_a*1,90.0_a*1,120.15_a*1,121.05_a*1,122.95_a*1,127.25_a*1,183.91_a*1,184.81_a*1,185.81_a*1,186.81_a*1,188.31_a*1,190.81_a*1,22.24_b**2,23.04_b**2,23.84_b**2,25.44_b**2,26.24_b**2,27.84_b**2,31.4_b**2,50.3_b**2,51.76_b**2,52.8_b**2,53.75_b**2,54.94_b**2,56.66_b**2,58.0_b**2,90.0_b**2,120.15_b**2,121.05_b**2,122.95_b**2,127.25_b**2,183.91_b**2,184.81_b**2,185.81_b**2,186.81_b**2,188.31_b**2,190.81_b**2
0.0,64.44002801873671,-0.4090942202232297,0.9583504305802593,-0.16717580452167802,-0.5371632926705416,0.4740517136284188,-0.6990730583084286,0.1273838906321174,0.5473291291596105,-1.2407147943799401,-2.8119516703860024,1.268297316337268,-0.2879292360943069,-2.2342553789836286,1.7735945086020504,-0.38496293730501385,2.8024381646934984,0.016852345730062,0.6916358657772352,0.25301076868173544,-1.276595543424465,1.35386068667877,-0.07793127503784714,-0.9925954396540244,-0.5845237563150207,0.6425966257331499,0.001140743549006771,-0.0032335946411379667,0.0008499257038238964,0.0021935177824783103,-0.001559757238767917,0.002325368933401746,-0.0007502175663726615,-0.0015940730084772897,0.0027481363456442545,0.00602908477756274,-0.002559206173931211,0.00037355428462877704,0.0052905313228857566,-0.004123856338394693,0.0009436043319093878,-0.005787289573348092,-1.4009478656392023e-05,-0.0014047314264617442,-0.000498635635913027,0.002593306778759852,-0.0027522485966987448,0.00019458778590300714,0.0019956383592558556,0.001116610502118028,-0.0012693140118111997
30.0,95.6831364152738,-0.41366371392244305,0.9856772685969117,-0.28173540044869494,-0.6067773481782766,0.5220591186648621,-0.5615940477816483,0.008298752363828044,0.6634966900786914,-1.4371851306459398,-2.8254097499875632,1.4255296192247613,-0.5088096386099892,-2.5354067533168383,1.8768767915170042,-0.40057435342649894,2.867472771384371,0.052863382650106594,0.8744234806835878,0.22558945522217844,-1.3439792672283417,1.4587552331778912,-0.08849270434371181,-1.1187997301025057,-0.661430690601573,0.7119252066776787,0.0011301918009059882,-0.003323692384061173,0.0012642599452537366,0.002449944613295993,-0.00174021434425389,0.0018337386320901108,-0.00036475665746035085,-0.0018908580810918438,0.0031777586295027374,0.006078945813655894,-0.002867592608417069,0.0008360666114382298,0.005970197986420402,-0.004346678814555699,0.0009911953922214158,-0.005928656130100796,-8.653293826495776e-05,-0.0017923155071013172,-0.0004270177088109869,0.002730990838477134,-0.0029628642048984168,0.00021481473260669647,0.0022405084750698957,0.0012626377723720377,-0.0014029214525558525
60.0,104.74951258209944,-0.40305694200411146,1.006954969349155,-0.28820082114680723,-0.6988634912257723,0.5076594919567782,-0.5214397400668869,-0.01622869141506733,0.7412262261981191,-1.2502669878510737,-2.8865187839306135,1.278670791618488,-0.6848230619995306,-2.604118003665038,1.889752848523166,-0.4247168664000138,3.0010360315558984,0.09273902426485292,0.867719850226621,0.2552561285436542,-1.3447464411989927,1.476556969621786,-0.13754087735184406,-1.078728218960384,-0.692289354201296,0.7069490136438459,0.0010882383786737677,-0.0033976581745121005,0.0012906776801916361,0.0027790670107883525,-0.0016901160511581916,0.0016917765131150841,-0.00029635431610963714,-0.0020773432194149677,0.002767243893628167,0.0062116678720560824,-0.0025640459498110224,0.0012123518058824168,0.0061248699030054836,-0.004372643473939638,0.0010538140499985228,-0.006203755911304926,-0.0001660425342557112,-0.001777503897998767,-0.0004899086959859022,0.0027330076772259203,-0.002997790023157757,0.00031042621575329103,0.00216277250973025,0.0013205767282612386,-0.0013939152578788128
90.0,108.29373159145212,-0.39484366528382986,0.9912515410111029,-0.29230330104254776,-0.750829893157217,0.5371058629199541,-0.4439228135256723,-0.08410950335521505,0.8711430861987104,-1.253355761684734,-2.8088106396937467,1.0970838492177606,-0.7615082421112334,-2.6209702463530595,1.8284697707973514,-0.4497332760427153,3.0811493067445497,0.15598961673597933,0.847335507294561,0.2832800598248575,-1.3046293213162503,1.4521407749800463,-0.19162568472814367,-1.032277692679581,-0.6888831911061781,0.6890027934957341,0.0010572026328345661,-0.003347963082533191,0.0013076326301189843,0.002964168001126574,-0.0017916462251745726,0.0014287253821596152,-8.328318093888537e-05,-0.00238137190057474,0.0027761807415586093,0.006054379579533026,-0.0021888947355637733,0.0013743037194578894,0.006156283683551247,-0.0042246428142068415,0.0011165365611884395,-0.006368444294576281,-0.0002928129529228187,-0.001734450921148959,-0.0005518262256187196,0.002652080290929844,-0.0029479081559260177,0.00041510828918787414,0.0020711618675715747,0.0013120647381054278,-0.0013576667950821394
120.0,111.17604019524492,-0.39053859626706444,0.9681328450771993,-0.29084044150328126,-0.7846592167878086,0.5568548782554771,-0.32095192075809287,-0.18863563531274607,1.039467690234126,-1.355435573761632,-2.7179735041288153,0.8850691088749443,-0.7620094461987534,-2.6148963720185248,1.734662350617227,-0.4711955636391254,3.127232956910845,0.27630569919743087,0.795373935823783,0.31687385580033284,-1.250524027198999,1.4140710328868238,-0.2385878628817233,-0.9895027769531408,-0.6724179990298706,0.6656818501930728,0.0010410503048616428,-0.0032741071835270773,0.0013048673114262575,0.0030845835420934,-0.0018584935247730624,0.0010111600575827343,0.00025331497603450076,-0.002773485988750088,0.003001422408492563,0.005867418093386058,-0.0017504432890877858,0.0013716603808516803,0.006133312089994234,-0.004001062862238886,0.0011703215210463473,-0.006462641872940406,-0.0005355641276757256,-0.0016255055563442612,-0.0006272996285557951,0.002543148114117672,-0.002870644831298924,0.0005054460184269992,0.001985836109124764,0.0012781927852797959,-0.0013099156267007094
150.0,111.20019867590486,-0.40023940814044945,0.9667527635836843,-0.3032226763067296,-0.7934474767944977,0.5660433041089036,-0.20274037058509542,-0.2920717668831436,1.197390040685022,-1.5186027718759831,-2.5806093199064164,0.6801091096094538,-0.6834646243439622,-2.6409613189080985,1.673981120009139,-0.4854725494742058,3.128374518353411,0.377860201897126,0.770943422628815,0.33384396704224845,-1.1995869137956952,1.3769092629691517,-0.26365061034528914,-0.9661121423566508,-0.6570827238254404,0.6482589088125461,0.00107319696673293,-0.003272535808198201,0.001347746347591102,0.003117477482888431,-0.0018900685051915851,0.0006112187096518756,0.0005879317441820839,-0.0031405101378912947,0.003358699345731901,0.005584624553112795,-0.0013266121018284116,0.0011979961863196609,0.006183421563736488,-0.0038535124956764616,0.0012062669454015948,-0.006464624599746199,-0.0007409573302789665,-0.0015742962886347482,-0.0006664929506969633,0.0024407137720150636,-0.0027950739627305952,0.0005525775488998737,0.0019381089511963045,0.0012473202490765115,-0.00127397424208968
180.0,107.97144072976448,-0.4113893696513773,0.9795623343238078,-0.3220831954161838,-0.8071045886517538,0.5567337998306942,-0.08439528452917067,-0.3725290897259548,1.3178501159878557,-1.6944092745633732,-2.447304870639077,0.4989723679009046,-0.5626994865720363,-2.666444401040503,1.6290322470690253,-0.4935066166226778,3.117873405133622,0.45837843729775307,0.7783311711856109,0.33310525646404515,-1.1562532111723112,1.3429429913699913,-0.27423544944868183,-0.9412364168981338,-0.6593488100607883,0.6428775649501361,0.0011092603677420407,-0.003318124930528416,0.00141248405151196,0.0031677666265834403,-0.0018586835803180556,0.00021121150783724035,0.0008477185292594877,-0.003420513875291138,0.0037437200875968663,0.0053093905915027936,-0.0009507714008408635,0.0009329592921083901,0.006231764219267966,-0.0037417574666601845,0.0012265220808774955,-0.0064430316357278195,-0.0009044829960276929,-0.0015899988474114652,-0.0006661430019601929,0.002353894965467389,-0.0027262313674539726,0.0005714910514418789,0.0018873199013051752,0.001251262219773169,-0.0012619878609933638
210.0,96.06876491741173,-0.3962655756892497,0.9993998604275203,-0.376854442095083,-0.8109700537888749,0.5081922162762409,0.044916764992040115,-0.41320958141282915,1.349788567147101,-1.808882394659971,-2.3231189675052217,0.29559130706547876,-0.30029812636627184,-2.6904498829453494,1.586077042499082,-0.4972764563082852,3.0759948043657204,0.5454552850928063,0.7713188165736953,0.3342603002522923,-1.1257315362787743,1.302559393397141,-0.26269758333566084,-0.8965883136944983,-0.6955373897554122,0.6549809963579458,0.0010560487607809508,-0.003389293780741448,0.0016011788857087268,0.003185633730920165,-0.0016910513250120106,-0.00022805624803333424,0.0009765776156754474,-0.003491382597864738,0.003994220360357945,0.005049686786787955,-0.000527146635345227,0.0003582376289561484,0.006274201679765646,-0.0036323056659372348,0.0012359765025470046,-0.006355729734626225,-0.0010809519168811731,-0.0015755369079521854,-0.0006697026897031173,0.0022928195781376677,-0.0026434051374725487,0.0005460544336191551,0.0017982000745625924,0.00132108729659691,-0.001284282649940855
240.0,83.79610330173546,-0.38181844032463674,1.0150332048365578,-0.4161755236309359,-0.8262552511411592,0.4610723162354875,0.17762472323235023,-0.4569652982183481,1.3863189860456124,-1.9493818500534914,-2.2036737159996114,0.133506150439068,-0.053545566407180445,-2.6894993896370725,1.531150506473577,-0.49838862667253947,3.025744794831027,0.6327625505438779,0.7564941435880239,0.3369096444825872,-1.089370460771141,1.2547335458952862,-0.25594224687541267,-0.8454750603150467,-0.725822350961693,0.6625302516170379,0.0010067448094578275,-0.003447595861068282,0.0017377819339140614,0.0032423628091428763,-0.0015277438631950968,-0.0006811279481693522,0.0011164749948811836,-0.003571358931385389,0.00430151329395085,0.004798434736840775,-0.0001873571074904462,-0.0001822682427032457,0.006261120495774105,-0.003496599112610233,0.0012391717906558614,-0.006251241505739358,-0.0012582852453495615,-0.001545885397108892,-0.0006763344531289096,0.002219619670234884,-0.002545758995173713,0.0005305297712559498,0.0016962661206242242,0.001379704271112782,-0.0012977211205236776
270.0,74.33866908236064,-0.37453784200541795,1.0383222918290707,-0.4590133040352731,-0.8265352359974223,0.3993077640693533,0.31852116773892547,-0.5042998087139665,1.4326217614863097,-2.135989222543685,-2.0571988882578274,-0.017515316462677788,0.15080280454580475,-2.6628692630385333,1.465383203393019,-0.49720510205514534,2.9781319238484087,0.7211808896331315,0.7295261151346772,0.34322999993459613,-1.0564320178105682,1.2131730468615132,-0.2459548288713984,-0.8014673422090697,-0.7507797817096176,0.6678131602060944,0.0009831895584230792,-0.0035325727526830334,0.001886003456326238,0.003245999837904176,-0.0013131308608745748,-0.0011629729271029066,0.0012698243163689754,-0.003674550149672315,0.004708896643599074,0.00449110710895873,0.00012952066692023534,-0.000629525595257599,0.006190205464563024,-0.0033370575861206148,0.001237083098122243,-0.006152290498349616,-0.0014380794857706647,-0.001490665453752542,-0.0006912783445991112,0.0021534402720066043,-0.0024609947834125026,0.0005089427442251937,0.0016082210374110872,0.0014280165263408746,-0.0013065414210955335
