,error,22.24_a*1,23.04_a*1,23.84_a*1,25.44_a*1,26.24_a*1,27.84_a*1,31.4_a*1,50.3_a*1,51.76_a*1,52.8_a*1,53.75_a*1,54.94_a*1,56.66_a*1,58.0_a*1,90.0_a*1,120.15_a*1,121.05_a*1,122.95_a*1,127.25_a*1,183.91_a*1,184.81_a*1,185.81_a*1,186.81_a*1,188.31_a*1,190.81_a*1,22.24_b**2,23.04_b**2,23.84_b**2,25.44_b**2,26.24_b**2,27.84_b**2,31.4_b**2,50.3_b**2,51.76_b**2,52.8_b**2,53.75_b**2,54.94_b**2,56.66_b**2,58.0_b**2,90.0_b**2,120.15_b**2,121.05_b**2,122.95_b**2,127.25_b**2,183.91_b**2,184.81_b**2,185.81_b**2,186.81_b**2,188.31_b**2,190.81_b**2
0.0,1.0722419655735775,-0.001148750334390298,0.0021992830352625045,-0.0006379938860964973,-0.0016769343239632865,0.0009140281603469903,0.0017048989738801916,-0.0020073111873799214,-9.67272463663453e-05,0.002287822918274165,-0.016335098437407828,0.005986680087400406,0.00623325549226203,-0.017118702673200672,0.011094726679645655,-0.0014119305419744424,0.0007507483495942328,0.0010304049699000027,0.0014087545984052124,0.0016861371941565223,-0.0024284005135635275,0.003021848857816793,0.0007097047751073535,-0.005330088031965217,0.0006959781946954922,-0.000703362812910836,3.2302082103121858e-06,-7.444725214555717e-06,2.71038148339266e-06,6.719385015593369e-06,-2.6337230819631748e-06,-5.9951253066617814e-06,5.800618607209691e-06,-7.261545449464164e-07,-4.900837131739749e-06,3.4220715739043934e-05,-1.2014626951502877e-05,-1.4128086163707118e-05,3.893682191386113e-05,-2.527550576912568e-05,3.411981677468297e-06,-1.4988001423700567e-06,-1.9347201778982963e-06,-2.8895293302899804e-06,-3.464942410457951e-06,4.963579107333249e-06,-6.249325990857847e-06,-1.272144443022956e-06,1.0516616899487294e-05,-1.3661201433752185e-06,1.2965425133227057e-06
30.0,1.1517185887472117,-0.0009230517280659064,0.002077194231035924,-0.0008566748310946276,-0.0017495732862760262,0.0007233399977750648,0.001989951749803367,-0.0020874660790755886,5.1227309724054607e-05,0.002379415295227434,-0.016346700068139146,0.005699174769755999,0.0062582712133660645,-0.017600256574313772,0.010983829499465143,-0.001502139384212778,0.0006054804230937027,0.0012392318468286562,0.0016121682462311628,0.0017470978819343146,-0.002487110236526431,0.0031240933935587317,0.0008648562979084399,-0.005629594556683741,0.0005434070394636538,-0.0006251869966001097,2.385712643585702e-06,-7.0069999300273155e-06,3.5183272959387483e-06,6.9665545944037405e-06,-1.9677267286736108e-06,-7.0089955815553725e-06,6.037164312511461e-06,-1.11994847117811e-06,-5.090015825742816e-06,3.425745289378894e-05,-1.1398409947885424e-05,-1.4197786882758911e-05,4.001760269655618e-05,-2.5013996842549694e-05,3.646328885747436e-06,-1.2129730383602515e-06,-2.364153438604724e-06,-3.3232643540105397e-06,-3.5673173320911224e-06,5.0867015311131455e-06,-6.452910497751506e-06,-1.5850212516607833e-06,1.110153113777389e-05,-1.077653858797921e-06,1.1397327924451275e-06
60.0,1.1610739614615246,-0.0007780750105095746,0.0019874769676873558,-0.0009245927182118465,-0.0016425018037038858,0.00044802357262467,0.0019607338855075,-0.0019620890630790214,0.00025830906405611455,0.0024935221249847254,-0.016105696433322866,0.00505437800012294,0.006269057018992815,-0.017523813048774387,0.010719032843538602,-0.001582651088900442,0.0006972543914844018,0.0014075334591649204,0.0016740045375791997,0.0017889218397696095,-0.002480510635114266,0.0031708222476920325,0.0008591657483457155,-0.005664365916876369,0.0004825504110960027,-0.000614184200921519,1.8743090454388432e-06,-6.702297439869194e-06,3.7697250106661054e-06,6.577616479575079e-06,-9.971460476096232e-07,-6.907820589760909e-06,5.6005788281485646e-06,-1.6240868547398411e-06,-5.325988700966947e-06,3.3766033606861544e-05,-1.0077475374190819e-05,-1.4228029131233433e-05,3.9835569911377294e-05,-2.440337221579074e-05,3.844497593327432e-06,-1.4003995455092977e-06,-2.7107678550484244e-06,-3.452681044495098e-06,-3.6481071829957404e-06,5.076112128850068e-06,-6.5411723381160964e-06,-1.5792160947380912e-06,1.1167563199248893e-05,-9.664946422246465e-07,1.1173944297943125e-06
90.0,1.1575111132469216,-0.0006565411668531911,0.001834828356023081,-0.0009392327953358609,-0.001571013694666168,0.00030127806887430154,0.0019173250216602215,-0.001765992385542362,0.0003698351843422626,0.0024881749280757683,-0.015897569902285937,0.004694828627425065,0.006000918475836335,-0.01683651052696183,0.010043846224685758,-0.0016723785194373818,0.0007241267593081045,0.0016545102980026014,0.0017579952527245844,0.001810740208948878,-0.002386368447183024,0.0031164446845992106,0.0007733421121468662,-0.005551950956354065,0.00040637883163352137,-0.0005983583821431184,1.4494859441067407e-06,-6.187122278924914e-06,3.830388792530367e-06,6.319420010646134e-06,-4.806329826021368e-07,-6.757358945385096e-06,4.946117083953825e-06,-1.8931817622676383e-06,-5.299278368611407e-06,3.3340609703326464e-05,-9.339103166190676e-06,-1.3654175679542452e-05,3.82626358586923e-05,-2.2849694431066782e-05,4.0568199581242255e-06,-1.4555150826051849e-06,-3.214274618723537e-06,-3.6267039303026982e-06,-3.6906919775874937e-06,4.887722662545052e-06,-6.425771660474516e-06,-1.416036340738732e-06,1.0941828943089217e-05,-8.265438771721552e-07,1.0918351974360201e-06
120.0,1.1571853369431793,-0.0005113406710963173,0.0016219333458957624,-0.0009228376474920844,-0.0014753684913114337,0.00017854243806998595,0.0018461755081700393,-0.0015467152277731813,0.0004889379139994612,0.002436104443977025,-0.015875075929223728,0.004444307119870624,0.005597627382601353,-0.015904311862951073,0.009190569772165424,-0.0017674245781784544,0.0007761820762143615,0.0019838845961124042,0.0018377600912280172,0.0018303721760097006,-0.002246143734069048,0.003009514367290462,0.0006677443011299626,-0.005392279781652439,0.0003579182212236232,-0.0006005971815115432,9.48070712853079e-07,-5.466908440781555e-06,3.7821422536608725e-06,5.97618165227765e-06,-5.509693627189632e-08,-6.507125723551067e-06,4.223904908734861e-06,-2.176655542727053e-06,-5.17315317101119e-06,3.329784535975517e-05,-8.823039875579543e-06,-1.2784136082955956e-05,3.612990408028938e-05,-2.0886524211395107e-05,4.2813412191581645e-06,-1.5644079381742453e-06,-3.885548449043346e-06,-3.7928176776998313e-06,-3.731707988720598e-06,4.605782298502426e-06,-6.204636174678004e-06,-1.2127606656525919e-06,1.0621483210911461e-05,-7.418412220902308e-07,1.1052073174956123e-06
150.0,1.1542006186527913,-0.00042656018107913377,0.0014776053242627936,-0.0008915169790337961,-0.0013904898841072873,8.334721927556613e-05,0.0017616184323153532,-0.0013719430182303558,0.0006417801140773342,0.0023187579133665988,-0.015811217331379166,0.004130765809119208,0.005366849882413722,-0.015138306036862142,0.00848629953254304,-0.0018430459763329591,0.0008181002557163964,0.002264984026964824,0.0018858682019501534,0.0018464116151617376,-0.0021271493087731026,0.0029258504003819717,0.0006051099281931347,-0.0053014114180038405,0.0003617184728835661,-0.000615404533619766,6.54939383329947e-07,-4.977619972334602e-06,3.6803541956487175e-06,5.672557061569693e-06,2.704085144005561e-07,-6.212649150562813e-06,3.650685892750127e-06,-2.53417721091382e-06,-4.910061510986499e-06,3.317121166390097e-05,-8.17906136532414e-06,-1.2284764588324075e-05,3.437672928149702e-05,-1.9266186379462006e-05,4.46135973900615e-06,-1.6540094969391964e-06,-4.457550934822426e-06,-3.8958056502841965e-06,-3.7664128135148875e-06,4.366676958060755e-06,-6.0303235518512386e-06,-1.094321949725536e-06,1.0436629242668148e-05,-7.564189970974635e-07,1.141953529310274e-06
180.0,1.150530673397863,-0.00039315758566262245,0.0014279056937959705,-0.0008826458773177133,-0.0014117894540924044,0.0001256690936788686,0.0016544036970998332,-0.001239686039465513,0.0008013626594493267,0.002173137551250877,-0.0156553663983533,0.003807261916502194,0.005258090714397189,-0.014583692703649578,0.007982942918784625,-0.0019072865133989447,0.0008659390644698683,0.0023538664978782486,0.0019382948231854765,0.0018625729778514208,-0.0020283633180133423,0.0028511166114553225,0.0006199433231395598,-0.005274734362734927,0.00037977984700676357,-0.0006248354199428021,5.318285215103697e-07,-4.808011683287406e-06,3.6523254748710315e-06,5.745987952406943e-06,1.229230315131507e-07,-5.839796585544437e-06,3.211202552346605e-06,-2.9055942592284213e-06,-4.591016580177549e-06,3.285378249700404e-05,-7.513488742112764e-06,-1.2048500615037179e-05,3.310637180734699e-05,-1.810758381873364e-05,4.617798980301253e-06,-1.7557456760447514e-06,-4.635856335967345e-06,-4.009013907566378e-06,-3.8041906149416092e-06,4.1690900866589445e-06,-5.8755696813818905e-06,-1.1303208265351427e-06,1.0379892608084094e-05,-7.969804111346959e-07,1.1664815509358172e-06
210.0,1.135563661427493,-0.00040009170663651145,0.0015019396186783072,-0.0009647658961014615,-0.001469054282057328,0.0003013942645295007,0.0014406387054157494,-0.0010617619461848913,0.0008766071617402824,0.0019335691115534917,-0.015278932548955779,0.0033443249190168315,0.005399926471562184,-0.014056636295111913,0.007580638744637191,-0.0019526463973928228,0.0008052894257576269,0.0024143742331235313,0.001956381519276027,0.0018699317166523369,-0.0019599911576668903,0.002743114511872802,0.0007057413152130078,-0.00517188201998107,0.0002799463270427901,-0.0005855709217166577,5.384644688974427e-07,-5.051490425019337e-06,3.933040451608439e-06,5.94798516675828e-06,-4.847144095267747e-07,-5.1002018110353465e-06,2.6176966805837922e-06,-3.0766899569637635e-06,-4.0704449265915955e-06,3.2077330759433024e-05,-6.556027485348703e-06,-1.2352705465328745e-05,3.1898492259420385e-05,-1.718013867536848e-05,4.730133051151511e-06,-1.6362392791026752e-06,-4.758125846252375e-06,-4.047869951861478e-06,-3.825207434309698e-06,4.035013481746318e-06,-5.655908535970016e-06,-1.3087299763748063e-06,1.0176841352586559e-05,-6.063008861956642e-07,1.0941774206477459e-06
240.0,1.1194563693974842,-0.0003545452229528519,0.0015121437308095696,-0.001017346902429321,-0.0015471445573147467,0.0004645926169876066,0.0012807114633716903,-0.0009126294289704528,0.0009324797407212464,0.001739220784044258,-0.015032038592126273,0.0030495558346213918,0.0054256667277667635,-0.013475166471966902,0.007151917775922665,-0.0020020202507492514,0.0008310099706686641,0.002373267840299023,0.0020113127738450812,0.001874862934851894,-0.0018620088262827552,0.0025923372827945726,0.000800267237862369,-0.005076854664988466,0.00022593359397412097,-0.0005706817066363878,3.7310516342930347e-07,-5.078573103587442e-06,4.110870055969353e-06,6.225106576328494e-06,-1.0612195311587263e-06,-4.552456692782536e-06,2.1324373140444474e-06,-3.202774174277342e-06,-3.6469358217233856e-06,3.156906875063684e-05,-5.943820994394188e-06,-1.2404547890049963e-05,3.0566674907402444e-05,-1.6191826145843855e-05,4.852266711015275e-06,-1.6938188000163708e-06,-4.676435818466043e-06,-4.168064075666727e-06,-3.839581646880618e-06,3.8396587061428095e-06,-5.351172362089236e-06,-1.501497126508566e-06,9.989238695852018e-06,-5.048108412992463e-07,1.0693150130112965e-06
270.0,1.1015115053581614,-0.00028853370254351,0.0014758909401492507,-0.0010452043490100336,-0.0015756628261360053,0.0005667890345818398,0.0011290733310629145,-0.0007597367451136186,0.0009636862405283404,0.001542081938276844,-0.014729074662878455,0.00280091147048527,0.005441979503350095,-0.012884484250522294,0.006710178673390884,-0.0020398052269756635,0.00084826101090871,0.002272726627036285,0.002073208133098619,0.0018701012054957254,-0.0017662669363756977,0.0024536594126118427,0.0008594654679090728,-0.004933706978476978,0.00015511550839677687,-0.0005513286762258117,1.4203212332008298e-07,-4.944811475412289e-06,4.198264107566633e-06,6.324974085045754e-06,-1.426563631313896e-06,-4.03048714109067e-06,1.6363897260582711e-06,-3.2688885118761477e-06,-3.2178863275228906e-06,3.094319920533879e-05,-5.425263674953304e-06,-1.2436205913248808e-05,2.9213633381194562e-05,-1.5173522289503295e-05,4.9459513796513705e-06,-1.7333100503217919e-06,-4.474724144929823e-06,-4.30389384771622e-06,-3.831979583420048e-06,3.6483752306015825e-06,-5.07057720648496e-06,-1.623718239082258e-06,9.707494106758859e-06,-3.699438094779521e-07,1.035547863525935e-06
